C,D,S,SARCYear,STES,SNTS,SPTS,SPNTS,SMES,STEM,SNTM,SPTM,SPNTEM,SMMEM,STEF,SNTF,SPTF,SPNTEF,SMMEF,STEAI,SNTAI,SPTAI,SPNTAI,SMEAI,STEAS,SNTAS,SPTAS,SPNTAS,SMEAS,STEPI,SNTPI,SPTPI,SPNTPI,SMEPI,STEFI,SNTFI,SPTFI,SPNTFI,SMEFI,STEHI,SNTHI,SPTHI,SPNTHI,SMEHI,STEAA,SNTAA,SPTAA,SPNTAA,SMEAA,STEWH,SNTWH,SPTWH,SPNTWH,SMEWH,STEMR,SNTMR,SPTMR,SPNTMR,SMEMR,STELEP,SNTLEP,SPTLEP,SPNTLEP,SMELEP,STEFY,SNTFY,SPTFY,SPNTFY,SMEFY,STEH,SNTH,SPTH,SPNTH,SMEH,STEMIL,SNTMIL,SPTMIL,SPNTMIL,SMEMIL,STESD,SNTSD,SPTSD,SPNTSD,SMESD,STEMIG,SNTMIG,SPTMIG,SPNTMIG,SMEMIG,STEDI,SNTDI,SPTDI,SPNTDI,SMEDI
19,73437,6057558,2020-2021,152,NT,NT,NT,NT,80,NT,NT,NT,NT,72,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,NT,NT,NT,NT,16,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,47,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,135,NT,NT,NT,NT,0,0,0,0,0,31,NT,NT,NT,NT
19,64816,6105407,2020-2021,41,NT,NT,NT,NT,14,NT,NT,NT,NT,27,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,36,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,15,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,40,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT
38,68478,6040943,2020-2021,100,NT,NT,NT,NT,49,NT,NT,NT,NT,51,NT,NT,NT,NT,0,0,0,0,0,52,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,39,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,47,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,44,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT
36,67595,6107510,2020-2021,80,NT,NT,NT,NT,44,NT,NT,NT,NT,36,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,38,NT,NT,NT,NT,--,NT,NT,NT,NT,23,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,24,NT,NT,NT,NT,0,0,0,0,0,14,NT,NT,NT,NT
19,64733,6017669,2020-2021,32,NT,NT,NT,NT,17,NT,NT,NT,NT,15,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,27,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,11,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,30,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT
19,64212,6010938,2020-2021,65,NT,NT,NT,NT,35,NT,NT,NT,NT,30,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,33,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,NT,NT,NT,NT,--,NT,NT,NT,NT,14,NT,NT,NT,NT
17,64014,1734359,2020-2021,130,96,73.85,26.15,20.83,52,33,63.46,36.54,33.33,78,63,80.77,19.23,14.29,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,39,78.00,22.00,15.38,--,--,--,--,--,74,54,72.97,27.03,25.93,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,65,43,66.15,33.85,11.63,--,--,--,--,--,16,10,62.50,37.50,--
01,61242,6001606,2020-2021,77,NT,NT,NT,NT,38,NT,NT,NT,NT,39,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,55,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,27,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,52,NT,NT,NT,NT,--,NT,NT,NT,NT,13,NT,NT,NT,NT
09,61853,0930081,2020-2021,588,424,72.11,27.89,55.19,309,241,77.99,22.01,52.70,279,183,65.59,34.41,58.47,0,0,0,0,0,66,55,83.33,16.67,67.27,--,--,--,--,--,14,11,78.57,21.43,81.82,75,49,65.33,34.67,40.82,--,--,--,--,--,388,274,70.62,29.38,53.28,36,29,80.56,19.44,68.97,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,45,27,60.00,40.00,44.44,0,0,0,0,0,45,31,68.89,31.11,16.13
36,73957,0110718,2020-2021,114,NT,NT,NT,NT,60,NT,NT,NT,NT,54,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,--,NT,NT,NT,NT,76,NT,NT,NT,NT,23,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,18,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,96,NT,NT,NT,NT,0,0,0,0,0,32,NT,NT,NT,NT
01,61259,6057004,2020-2021,159,NT,NT,NT,NT,86,NT,NT,NT,NT,73,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,30,NT,NT,NT,NT,39,NT,NT,NT,NT,58,NT,NT,NT,NT,22,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,69,NT,NT,NT,NT,0,0,0,0,0,29,NT,NT,NT,NT
36,67595,6108930,2020-2021,311,NT,NT,NT,NT,181,NT,NT,NT,NT,130,NT,NT,NT,NT,--,NT,NT,NT,NT,23,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,163,NT,NT,NT,NT,22,NT,NT,NT,NT,77,NT,NT,NT,NT,16,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,14,NT,NT,NT,NT,--,NT,NT,NT,NT,118,NT,NT,NT,NT,0,0,0,0,0,32,NT,NT,NT,NT
37,73791,6107148,2020-2021,113,NT,NT,NT,NT,59,NT,NT,NT,NT,54,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,55,NT,NT,NT,NT,--,NT,NT,NT,NT,35,NT,NT,NT,NT,--,NT,NT,NT,NT,12,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,26,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT
12,62687,1230051,2020-2021,12,1,8.33,91.67,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--
19,64857,6021208,2020-2021,96,NT,NT,NT,NT,46,NT,NT,NT,NT,50,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,--,NT,NT,NT,NT,74,NT,NT,NT,NT,16,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,26,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,96,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT
43,73387,6047633,2020-2021,77,NT,NT,NT,NT,31,NT,NT,NT,NT,46,NT,NT,NT,NT,0,0,0,0,0,36,NT,NT,NT,NT,0,0,0,0,0,19,NT,NT,NT,NT,12,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,22,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,26,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT
12,62976,0115154,2020-2021,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0
19,73460,6100309,2020-2021,101,NT,NT,NT,NT,49,NT,NT,NT,NT,52,NT,NT,NT,NT,0,0,0,0,0,71,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,15,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,18,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,NT,NT,NT,NT,0,0,0,0,0,12,NT,NT,NT,NT
19,65094,6023477,2020-2021,277,NT,NT,NT,NT,153,NT,NT,NT,NT,124,NT,NT,NT,NT,0,0,0,0,0,33,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,209,NT,NT,NT,NT,--,NT,NT,NT,NT,14,NT,NT,NT,NT,--,NT,NT,NT,NT,23,NT,NT,NT,NT,--,NT,NT,NT,NT,84,NT,NT,NT,NT,0,0,0,0,0,196,NT,NT,NT,NT,0,0,0,0,0,29,NT,NT,NT,NT
30,66522,6028450,2020-2021,323,NT,NT,NT,NT,172,NT,NT,NT,NT,151,NT,NT,NT,NT,--,NT,NT,NT,NT,84,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,98,NT,NT,NT,NT,--,NT,NT,NT,NT,114,NT,NT,NT,NT,15,NT,NT,NT,NT,16,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,109,NT,NT,NT,NT,0,0,0,0,0,29,NT,NT,NT,NT
10,62240,6108328,2020-2021,225,NT,NT,NT,NT,125,NT,NT,NT,NT,99,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,159,NT,NT,NT,NT,0,0,0,0,0,52,NT,NT,NT,NT,--,NT,NT,NT,NT,17,NT,NT,NT,NT,--,NT,NT,NT,NT,24,NT,NT,NT,NT,27,NT,NT,NT,NT,142,NT,NT,NT,NT,0,0,0,0,0,22,NT,NT,NT,NT
01,61259,0118653,2020-2021,68,NT,NT,NT,NT,43,NT,NT,NT,NT,25,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,31,NT,NT,NT,NT,23,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,15,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,59,NT,NT,NT,NT,0,0,0,0,0,12,NT,NT,NT,NT
19,64725,1996503,2020-2021,79,NT,NT,NT,NT,22,NT,NT,NT,NT,57,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,42,NT,NT,NT,NT,20,NT,NT,NT,NT,11,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,32,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT
23,65623,0136887,2020-2021,39,NT,NT,NT,NT,25,NT,NT,NT,NT,14,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,26,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,23,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT
24,65771,6107908,2020-2021,93,93,100.00,0.00,10.75,52,52,100.00,0.00,13.46,41,41,100.00,0.00,7.32,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,79,79,100.00,0.00,10.13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,35,35,100.00,0.00,2.86,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,82,82,100.00,0.00,9.76,--,--,--,--,--,--,--,--,--,--
19,64295,1930700,2020-2021,221,178,80.54,19.46,14.61,104,85,81.73,18.27,21.18,117,93,79.49,20.51,8.60,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,205,167,81.46,18.54,13.17,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,32,29,90.63,9.37,0.00,0,0,0,0,0,62,48,77.42,22.58,8.33,0,0,0,0,0,204,165,80.88,19.12,13.94,0,0,0,0,0,43,36,83.72,16.28,8.33
44,69799,4430518,2020-2021,311,NT,NT,NT,NT,163,NT,NT,NT,NT,148,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,138,NT,NT,NT,NT,--,NT,NT,NT,NT,153,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,41,NT,NT,NT,NT,--,NT,NT,NT,NT,28,NT,NT,NT,NT
10,62166,0108118,2020-2021,104,NT,NT,NT,NT,56,NT,NT,NT,NT,48,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,84,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,12,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,52,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT
01,61259,0125716,2020-2021,145,NT,NT,NT,NT,69,NT,NT,NT,NT,76,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,102,NT,NT,NT,NT,30,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,73,NT,NT,NT,NT,--,NT,NT,NT,NT,36,NT,NT,NT,NT,0,0,0,0,0,139,NT,NT,NT,NT,0,0,0,0,0,23,NT,NT,NT,NT
39,68569,6105738,2020-2021,119,110,92.44,7.56,11.11,63,59,93.65,6.35,11.86,56,51,91.07,8.93,10.20,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,74,71,95.95,4.05,7.25,--,--,--,--,--,16,12,75.00,25.00,16.67,--,--,--,--,--,24,22,91.67,8.33,4.55,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,87,81,93.10,6.90,7.59,0,0,0,0,0,17,16,94.12,5.88,0.00
13,63172,6008585,2020-2021,25,23,92.00,8.00,26.09,20,18,90.00,10.00,16.67,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,100.00,0.00,28.57,0,0,0,0,0,11,9,81.82,18.18,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--
50,71266,6120844,2020-2021,259,232,89.58,10.42,15.15,112,102,91.07,8.93,13.73,147,130,88.44,11.56,16.28,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,180,160,88.89,11.11,13.21,--,--,--,--,--,47,43,91.49,8.51,20.93,--,--,--,--,--,44,42,95.45,4.55,0.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,182,167,91.76,8.24,12.05,--,--,--,--,--,27,25,92.59,7.41,0.00
43,69377,6068928,2020-2021,193,NT,NT,NT,NT,103,NT,NT,NT,NT,90,NT,NT,NT,NT,0,0,0,0,0,85,NT,NT,NT,NT,--,NT,NT,NT,NT,41,NT,NT,NT,NT,44,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,29,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,49,NT,NT,NT,NT,0,0,0,0,0,26,NT,NT,NT,NT
40,75457,6113096,2020-2021,253,NT,NT,NT,NT,147,NT,NT,NT,NT,106,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,137,NT,NT,NT,NT,--,NT,NT,NT,NT,100,NT,NT,NT,NT,11,NT,NT,NT,NT,21,NT,NT,NT,NT,--,NT,NT,NT,NT,12,NT,NT,NT,NT,18,NT,NT,NT,NT,34,NT,NT,NT,NT,--,NT,NT,NT,NT,41,NT,NT,NT,NT
19,64733,0140046,2020-2021,112,NT,NT,NT,NT,58,NT,NT,NT,NT,54,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,26,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,107,NT,NT,NT,NT,0,0,0,0,0,26,NT,NT,NT,NT
43,69674,6049043,2020-2021,49,NT,NT,NT,NT,27,NT,NT,NT,NT,22,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,19,NT,NT,NT,NT,--,NT,NT,NT,NT,18,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,18,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT
15,63438,6009435,2020-2021,205,NT,NT,NT,NT,90,NT,NT,NT,NT,115,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,172,NT,NT,NT,NT,--,NT,NT,NT,NT,17,NT,NT,NT,NT,--,NT,NT,NT,NT,42,NT,NT,NT,NT,0,0,0,0,0,12,NT,NT,NT,NT,0,0,0,0,0,178,NT,NT,NT,NT,--,NT,NT,NT,NT,18,NT,NT,NT,NT
37,68338,6069116,2020-2021,104,NT,NT,NT,NT,44,NT,NT,NT,NT,60,NT,NT,NT,NT,0,0,0,0,0,26,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,18,NT,NT,NT,NT,--,NT,NT,NT,NT,37,NT,NT,NT,NT,18,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,21,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT
15,63529,1530112,2020-2021,157,NT,NT,NT,NT,90,NT,NT,NT,NT,66,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,77,NT,NT,NT,NT,--,NT,NT,NT,NT,61,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,126,NT,NT,NT,NT,--,NT,NT,NT,NT,11,NT,NT,NT,NT
21,65417,6024517,2020-2021,52,NT,NT,NT,NT,30,NT,NT,NT,NT,22,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,32,NT,NT,NT,NT,0,0,0,0,0,15,NT,NT,NT,NT,--,NT,NT,NT,NT,14,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,32,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT
42,69120,6046056,2020-2021,126,NT,NT,NT,NT,71,NT,NT,NT,NT,55,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,NT,NT,NT,NT,121,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,34,NT,NT,NT,NT,--,NT,NT,NT,NT,38,NT,NT,NT,NT,0,0,0,0,0,118,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT
19,64873,0119438,2020-2021,223,NT,NT,NT,NT,111,NT,NT,NT,NT,112,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,199,NT,NT,NT,NT,18,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,33,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,213,NT,NT,NT,NT,0,0,0,0,0,34,NT,NT,NT,NT
23,65623,6104590,2020-2021,23,5,21.74,78.26,--,--,--,--,--,--,14,2,14.29,85.71,--,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,13,4,30.77,69.23,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,16.67,83.33,--,0,0,0,0,0,--,--,--,--,--
43,69419,6046742,2020-2021,86,80,93.02,6.98,42.50,48,44,91.67,8.33,47.73,38,36,94.74,5.26,36.11,0,0,0,0,0,32,30,93.75,6.25,53.33,--,--,--,--,--,0,0,0,0,0,20,18,90.00,10.00,16.67,0,0,0,0,0,25,23,92.00,8.00,56.52,--,--,--,--,--,20,17,85.00,15.00,11.76,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,17,16,94.12,5.88,25.00,0,0,0,0,0,--,--,--,--,--
01,61259,0119859,2020-2021,39,NT,NT,NT,NT,22,NT,NT,NT,NT,17,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,14,NT,NT,NT,NT,17,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,22,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0
19,64733,6017040,2020-2021,40,NT,NT,NT,NT,16,NT,NT,NT,NT,24,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,NT,NT,NT,NT,35,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,36,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT
34,67439,6059364,2020-2021,352,NT,NT,NT,NT,182,NT,NT,NT,NT,170,NT,NT,NT,NT,0,0,0,0,0,118,NT,NT,NT,NT,14,NT,NT,NT,NT,--,NT,NT,NT,NT,168,NT,NT,NT,NT,34,NT,NT,NT,NT,--,NT,NT,NT,NT,11,NT,NT,NT,NT,114,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,324,NT,NT,NT,NT,0,0,0,0,0,47,NT,NT,NT,NT
38,68478,6041230,2020-2021,81,NT,NT,NT,NT,41,NT,NT,NT,NT,40,NT,NT,NT,NT,0,0,0,0,0,37,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,25,NT,NT,NT,NT,11,NT,NT,NT,NT,15,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,NT,NT,NT,NT,0,0,0,0,0,11,NT,NT,NT,NT
28,66266,0108605,2020-2021,56,NT,NT,NT,NT,31,NT,NT,NT,NT,25,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,39,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT
01,61176,6066468,2020-2021,105,102,97.14,2.86,86.27,60,57,95.00,5.00,84.21,45,45,100.00,0.00,88.89,0,0,0,0,0,98,96,97.96,2.04,88.54,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--
37,73791,0138222,2020-2021,37,14,37.84,62.16,28.57,18,7,38.89,61.11,--,19,7,36.84,63.16,--,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,14,7,50.00,50.00,--,0,0,0,0,0,20,6,30.00,70.00,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,33.33,66.67,--,0,0,0,0,0,--,--,--,--,--
19,65037,6022800,2020-2021,44,NT,NT,NT,NT,21,NT,NT,NT,NT,23,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,43,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,40,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT
19,64774,6115539,2020-2021,241,216,89.63,10.37,12.80,128,114,89.06,10.94,12.50,113,102,90.27,9.73,13.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,201,88.94,11.06,13.78,12,12,100.00,0.00,0.00,--,--,--,--,--,--,--,--,--,--,40,37,92.50,7.50,0.00,--,--,--,--,--,18,14,77.78,22.22,0.00,0,0,0,0,0,223,201,90.13,9.87,13.78,--,--,--,--,--,33,31,93.94,6.06,0.00
14,63271,1438308,2020-2021,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0
19,64733,0109397,2020-2021,60,NT,NT,NT,NT,27,NT,NT,NT,NT,33,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,55,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,16,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,57,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT
