C,D,S,SARCYear,STES,SNTS,SPTS,SPNTS,SMES,STEM,SNTM,SPTM,SPNTEM,SMMEM,STEF,SNTF,SPTF,SPNTEF,SMMEF,STEAI,SNTAI,SPTAI,SPNTAI,SMEAI,STEAS,SNTAS,SPTAS,SPNTAS,SMEAS,STEPI,SNTPI,SPTPI,SPNTPI,SMEPI,STEFI,SNTFI,SPTFI,SPNTFI,SMEFI,STEHI,SNTHI,SPTHI,SPNTHI,SMEHI,STEAA,SNTAA,SPTAA,SPNTAA,SMEAA,STEWH,SNTWH,SPTWH,SPNTWH,SMEWH,STEMR,SNTMR,SPTMR,SPNTMR,SMEMR,STELEP,SNTLEP,SPTLEP,SPNTLEP,SMELEP,STEFY,SNTFY,SPTFY,SPNTFY,SMEFY,STEH,SNTH,SPTH,SPNTH,SMEH,STEMIL,SNTMIL,SPTMIL,SPNTMIL,SMEMIL,STESD,SNTSD,SPTSD,SPNTSD,SMESD,STEMIG,SNTMIG,SPTMIG,SPNTMIG,SMEMIG,STEDI,SNTDI,SPTDI,SPNTDI,SMEDI
19,64881,6021760,2020-2021,70,NT,NT,NT,NT,33,NT,NT,NT,NT,37,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,24,NT,NT,NT,NT,--,NT,NT,NT,NT,36,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,43,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT
56,10561,5630223,2020-2021,15,5,33.33,66.67,--,13,5,38.46,61.54,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,28.57,71.43,--,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,14,5,35.71,64.29,--,0,0,0,0,0,--,--,--,--,--
19,64717,6015085,2020-2021,62,NT,NT,NT,NT,28,NT,NT,NT,NT,34,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,NT,NT,NT,NT,59,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,45,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT
30,66530,6089072,2020-2021,308,NT,NT,NT,NT,155,NT,NT,NT,NT,153,NT,NT,NT,NT,--,NT,NT,NT,NT,31,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,39,NT,NT,NT,NT,--,NT,NT,NT,NT,194,NT,NT,NT,NT,40,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,52,NT,NT,NT,NT,0,0,0,0,0,32,NT,NT,NT,NT
07,61804,6005060,2020-2021,47,NT,NT,NT,NT,24,NT,NT,NT,NT,23,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,31,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT
30,66670,6061741,2020-2021,394,286,72.59,27.41,12.22,218,145,66.51,33.49,9.02,175,141,80.57,19.43,15.33,--,--,--,--,--,13,12,92.31,7.69,50.00,0,0,0,0,0,--,--,--,--,--,364,261,71.70,28.30,10.12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,116,75,64.66,35.34,0.00,--,--,--,--,--,194,140,72.16,27.84,10.61,0,0,0,0,0,338,243,71.89,28.11,11.40,--,--,--,--,--,65,16,24.62,75.38,0.00
22,65532,6025050,2020-2021,78,77,98.72,1.28,25.97,39,39,100.00,0.00,28.21,39,38,97.44,2.56,23.68,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,100.00,0.00,16.67,0,0,0,0,0,55,54,98.18,1.82,29.63,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,47,47,100.00,0.00,17.02,0,0,0,0,0,--,--,--,--,--
19,64212,6010912,2020-2021,64,NT,NT,NT,NT,35,NT,NT,NT,NT,29,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,62,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,28,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,NT,NT,NT,NT,27,NT,NT,NT,NT,12,NT,NT,NT,NT
37,68338,3737962,2020-2021,191,NT,NT,NT,NT,119,NT,NT,NT,NT,72,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,167,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,48,NT,NT,NT,NT,0,0,0,0,0,84,NT,NT,NT,NT,--,NT,NT,NT,NT,162,NT,NT,NT,NT,0,0,0,0,0,38,NT,NT,NT,NT
01,61192,6000962,2020-2021,79,NT,NT,NT,NT,33,NT,NT,NT,NT,46,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,46,NT,NT,NT,NT,18,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,14,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,49,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT
14,76687,0110031,2020-2021,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0
07,61754,6004360,2020-2021,86,81,94.19,5.81,56.79,50,46,92.00,8.00,60.87,36,35,97.22,2.78,51.43,0,0,0,0,0,11,11,100.00,0.00,54.55,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,45,41,91.11,8.89,60.98,18,17,94.44,5.56,64.71,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--
15,63362,6009930,2020-2021,338,NT,NT,NT,NT,181,NT,NT,NT,NT,156,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,235,NT,NT,NT,NT,55,NT,NT,NT,NT,34,NT,NT,NT,NT,--,NT,NT,NT,NT,57,NT,NT,NT,NT,--,NT,NT,NT,NT,40,NT,NT,NT,NT,0,0,0,0,0,313,NT,NT,NT,NT,0,0,0,0,0,33,NT,NT,NT,NT
19,64733,0122838,2020-2021,95,86,90.53,9.47,17.44,49,43,87.76,12.24,23.26,46,43,93.48,6.52,11.63,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,65,59,90.77,9.23,11.86,--,--,--,--,--,22,19,86.36,13.64,36.84,--,--,--,--,--,13,12,92.31,7.69,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,94.74,5.26,5.56,0,0,0,0,0,18,15,83.33,16.67,6.67
31,66795,6031066,2020-2021,81,75,92.59,7.41,25.33,37,34,91.89,8.11,32.35,44,41,93.18,6.82,19.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,67,61,91.04,8.96,24.59,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,29,82.86,17.14,34.48,0,0,0,0,0,--,--,--,--,--
19,64733,1931484,2020-2021,85,NT,NT,NT,NT,46,NT,NT,NT,NT,39,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,78,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,23,NT,NT,NT,NT,--,NT,NT,NT,NT,24,NT,NT,NT,NT,0,0,0,0,0,69,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT
48,70581,6051445,2020-2021,41,NT,NT,NT,NT,27,NT,NT,NT,NT,14,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,17,NT,NT,NT,NT,13,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT
43,69641,6048359,2020-2021,60,NT,NT,NT,NT,28,NT,NT,NT,NT,32,NT,NT,NT,NT,0,0,0,0,0,23,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,19,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT
