C,D,S,SARCYear,ETES,ENTS,EPTS,EPNTS,EMES,ETEM,ENTM,EPTM,EPNTEM,EMMEM,ETEF,ENTF,EPTF,EPNTEF,EMMEF,ETEAI,ENTAI,EPTAI,EPNTAI,EMEAI,ETEAS,ENTAS,EPTAS,EPNTAS,EMEAS,ETEPI,ENTPI,EPTPI,EPNTPI,EMEPI,ETEFI,ENTFI,EPTFI,EPNTFI,EMEFI,ETEHI,ENTHI,EPTHI,EPNTHI,EMEHI,ETEAA,ENTAA,EPTAA,EPNTAA,EMEAA,ETEWH,ENTWH,EPTWH,EPNTWH,EMEWH,ETEMR,ENTMR,EPTMR,EPNTMR,EMEMR,ETELEP,ENTLEP,EPTLEP,EPNTLEP,EMELEP,ETEFY,ENTFY,EPTFY,EPNTFY,EMEFY,ETEH,ENTH,EPTH,EPNTH,EMEH,ETEMIL,ENTMIL,EPTMIL,EPNTMIL,EMEMIL,ETESD,ENTSD,EPTSD,EPNTSD,EMESD,ETEMIG,ENTMIG,EPTMIG,EPNTMIG,EMEMIG,ETEDI,ENTDI,EPTDI,EPNTDI,EMEDI
47,70425,0131102,2020-2021,290,268,92.41,7.59,59.33,142,130,91.55,8.45,50.77,148,138,93.24,6.76,67.39,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,34,30,88.24,11.76,56.67,--,--,--,--,--,231,215,93.07,6.93,60.47,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,12,12,100.00,0.00,83.33,0,0,0,0,0,108,96,88.89,11.11,52.08,0,0,0,0,0,25,23,92.00,8.00,13.04
18,64089,1831601,2020-2021,37,36,97.30,2.70,19.44,18,18,100.00,0.00,11.11,19,18,94.74,5.26,27.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,25,24,96.00,4.00,20.83,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,21,20,95.24,4.76,15.00,--,--,--,--,--,--,--,--,--,--
19,64667,6014674,2020-2021,427,NT,NT,NT,NT,218,NT,NT,NT,NT,209,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,231,NT,NT,NT,NT,123,NT,NT,NT,NT,38,NT,NT,NT,NT,22,NT,NT,NT,NT,62,NT,NT,NT,NT,22,NT,NT,NT,NT,36,NT,NT,NT,NT,17,NT,NT,NT,NT,404,NT,NT,NT,NT,0,0,0,0,0,99,NT,NT,NT,NT
57,72678,6066245,2020-2021,323,NT,NT,NT,NT,165,NT,NT,NT,NT,158,NT,NT,NT,NT,--,NT,NT,NT,NT,24,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,61,NT,NT,NT,NT,14,NT,NT,NT,NT,188,NT,NT,NT,NT,28,NT,NT,NT,NT,13,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,53,NT,NT,NT,NT,--,NT,NT,NT,NT,47,NT,NT,NT,NT
31,66886,6111694,2020-2021,73,NT,NT,NT,NT,41,NT,NT,NT,NT,32,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,66,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,19,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT
17,64014,1730043,2020-2021,14,7,50.00,50.00,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--
56,72520,6055222,2020-2021,66,62,93.94,6.06,35.48,32,32,100.00,0.00,25.00,34,30,88.24,11.76,46.67,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,23,92.00,8.00,17.39,0,0,0,0,0,39,38,97.44,2.56,44.74,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,26,92.86,7.14,19.23,0,0,0,0,0,--,--,--,--,--
30,66670,0135897,2020-2021,249,15,6.02,93.98,46.67,126,5,3.97,96.03,--,123,10,8.13,91.87,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,240,15,6.25,93.75,46.67,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,74,4,5.41,94.59,--,--,--,--,--,--,64,0,0.00,100.00,--,0,0,0,0,0,213,13,6.10,93.90,46.15,0,0,0,0,0,24,4,16.67,83.33,--
19,64733,0126557,2020-2021,97,79,81.44,18.56,36.36,32,23,71.88,28.12,26.09,65,56,86.15,13.85,40.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,96,78,81.25,18.75,36.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,89,73,82.02,17.98,37.50,0,0,0,0,0,12,6,50.00,50.00,--
01,61200,0135376,2020-2021,140,126,90.00,10.00,69.84,75,68,90.67,9.33,72.06,65,58,89.23,10.77,67.24,0,0,0,0,0,27,26,96.30,3.70,88.46,--,--,--,--,--,--,--,--,--,--,33,27,81.82,18.18,62.96,--,--,--,--,--,65,59,90.77,9.23,67.80,11,10,90.91,9.09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23,20,86.96,13.04,40.00,0,0,0,0,0,19,11,57.89,42.11,63.64
43,10439,0125799,2020-2021,207,NT,NT,NT,NT,97,NT,NT,NT,NT,110,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,183,NT,NT,NT,NT,14,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,110,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,184,NT,NT,NT,NT,0,0,0,0,0,30,NT,NT,NT,NT
19,64568,1934082,2020-2021,364,348,95.60,4.40,49.43,194,183,94.33,5.67,40.44,170,165,97.06,2.94,59.39,--,--,--,--,--,20,19,95.00,5.00,68.42,--,--,--,--,--,15,15,100.00,0.00,73.33,81,78,96.30,3.70,37.18,--,--,--,--,--,230,219,95.22,4.78,51.60,--,--,--,--,--,44,39,88.64,11.36,12.82,--,--,--,--,--,16,16,100.00,0.00,12.50,--,--,--,--,--,212,203,95.75,4.25,51.72,0,0,0,0,0,39,33,84.62,15.38,15.15
30,66431,3030038,2020-2021,693,555,80.09,19.91,75.96,345,271,78.55,21.45,73.13,348,284,81.61,18.39,78.65,0,0,0,0,0,197,185,93.91,6.09,88.52,--,--,--,--,--,39,37,94.87,5.13,81.08,214,158,73.83,26.17,67.74,32,27,84.38,15.62,62.96,172,116,67.44,32.56,68.10,34,27,79.41,20.59,84.62,24,12,50.00,50.00,0.00,--,--,--,--,--,26,14,53.85,46.15,50.00,--,--,--,--,--,349,272,77.94,22.06,69.29,0,0,0,0,0,59,24,40.68,59.32,25.00
36,67777,3638616,2020-2021,298,214,71.81,28.19,48.60,154,102,66.23,33.77,41.18,144,112,77.78,22.22,55.36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,105,78,74.29,25.71,52.56,--,--,--,--,--,174,124,71.26,28.74,47.58,--,--,--,--,--,12,7,58.33,41.67,--,--,--,--,--,--,18,2,11.11,88.89,--,--,--,--,--,--,189,130,68.78,31.22,42.31,0,0,0,0,0,55,32,58.18,41.82,12.50
07,61754,0731646,2020-2021,486,344,70.78,29.22,69.62,265,184,69.43,30.57,71.04,219,158,72.15,27.85,67.53,0,0,0,0,0,60,47,78.33,21.67,72.34,0,0,0,0,0,21,16,76.19,23.81,93.75,145,102,70.34,29.66,54.55,--,--,--,--,--,195,135,69.23,30.77,75.19,58,43,74.14,25.86,74.42,31,16,51.61,48.39,6.25,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,136,93,68.38,31.62,60.87,0,0,0,0,0,39,17,43.59,56.41,25.00
30,73924,6029086,2020-2021,274,NT,NT,NT,NT,138,NT,NT,NT,NT,136,NT,NT,NT,NT,0,0,0,0,0,36,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,77,NT,NT,NT,NT,--,NT,NT,NT,NT,127,NT,NT,NT,NT,27,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,46,NT,NT,NT,NT,0,0,0,0,0,28,NT,NT,NT,NT
56,72462,6055032,2020-2021,978,11,1.12,98.88,0.00,501,7,1.40,98.60,--,476,4,0.84,99.16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,39,1,2.56,97.44,--,879,9,1.02,98.98,--,--,--,--,--,--,39,1,2.56,97.44,--,12,0,0.00,100.00,--,338,1,0.30,99.70,--,--,--,--,--,--,170,0,0.00,100.00,--,--,--,--,--,--,897,8,0.89,99.11,--,25,0,0.00,100.00,--,131,11,8.40,91.60,0.00
19,73437,6023782,2020-2021,253,NT,NT,NT,NT,141,NT,NT,NT,NT,112,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,NT,NT,NT,NT,49,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,70,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,242,NT,NT,NT,NT,0,0,0,0,0,38,NT,NT,NT,NT
34,67439,6034052,2020-2021,195,NT,NT,NT,NT,99,NT,NT,NT,NT,96,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,86,NT,NT,NT,NT,50,NT,NT,NT,NT,11,NT,NT,NT,NT,27,NT,NT,NT,NT,16,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,181,NT,NT,NT,NT,0,0,0,0,0,57,NT,NT,NT,NT
19,64725,6015309,2020-2021,245,NT,NT,NT,NT,108,NT,NT,NT,NT,137,NT,NT,NT,NT,0,0,0,0,0,13,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,77,NT,NT,NT,NT,13,NT,NT,NT,NT,95,NT,NT,NT,NT,44,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,16,NT,NT,NT,NT,0,0,0,0,0,67,NT,NT,NT,NT,--,NT,NT,NT,NT,15,NT,NT,NT,NT
19,64873,6021414,2020-2021,597,577,96.65,3.35,37.98,322,313,97.20,2.80,33.33,275,264,96.00,4.00,43.51,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,576,556,96.53,3.47,37.97,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,123,115,93.50,6.50,7.83,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,517,497,96.13,3.87,36.16,0,0,0,0,0,81,78,96.30,3.70,5.13
11,76562,6007447,2020-2021,276,262,94.93,5.07,24.81,139,130,93.53,6.47,20.00,137,132,96.35,3.65,29.55,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,266,253,95.11,4.89,24.90,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,92,89,96.74,3.26,4.49,--,--,--,--,--,26,26,100.00,0.00,30.77,0,0,0,0,0,235,221,94.04,5.96,23.53,--,--,--,--,--,39,34,87.18,12.82,2.94
18,75036,6096341,2020-2021,25,22,88.00,12.00,22.73,11,9,81.82,18.18,--,14,13,92.86,7.14,30.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,20,19,95.00,5.00,21.05,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--
19,64733,6058267,2020-2021,1971,NT,NT,NT,NT,1009,NT,NT,NT,NT,962,NT,NT,NT,NT,--,NT,NT,NT,NT,138,NT,NT,NT,NT,--,NT,NT,NT,NT,17,NT,NT,NT,NT,372,NT,NT,NT,NT,203,NT,NT,NT,NT,1078,NT,NT,NT,NT,158,NT,NT,NT,NT,44,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,546,NT,NT,NT,NT,--,NT,NT,NT,NT,193,NT,NT,NT,NT
40,68791,6043186,2020-2021,38,37,97.37,2.63,67.57,21,20,95.24,4.76,60.00,17,17,100.00,0.00,76.47,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,21,20,95.24,4.76,70.00,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,18,18,100.00,0.00,55.56,0,0,0,0,0,--,--,--,--,--
39,68585,6120059,2020-2021,306,244,79.74,20.26,42.80,156,124,79.49,20.51,41.13,150,120,80.00,20.00,44.54,--,--,--,--,--,44,35,79.55,20.45,37.14,--,--,--,--,--,21,16,76.19,23.81,68.75,129,103,79.84,20.16,38.24,32,24,75.00,25.00,29.17,47,40,85.11,14.89,50.00,26,21,80.77,19.23,52.38,33,31,93.94,6.06,12.90,--,--,--,--,--,0,0,0,0,0,14,12,85.71,14.29,50.00,174,136,78.16,21.84,34.81,0,0,0,0,0,56,44,78.57,21.43,25.00
36,67843,0110569,2020-2021,295,NT,NT,NT,NT,145,NT,NT,NT,NT,150,NT,NT,NT,NT,0,0,0,0,0,28,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,139,NT,NT,NT,NT,18,NT,NT,NT,NT,86,NT,NT,NT,NT,15,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,104,NT,NT,NT,NT,--,NT,NT,NT,NT,197,NT,NT,NT,NT,0,0,0,0,0,47,NT,NT,NT,NT
12,62794,6007850,2020-2021,78,69,88.46,11.54,56.52,34,29,85.29,14.71,48.28,44,40,90.91,9.09,62.50,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,57,50,87.72,12.28,60.00,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,84.62,15.38,27.27,0,0,0,0,0,--,--,--,--,--
37,68205,6038632,2020-2021,236,NT,NT,NT,NT,123,NT,NT,NT,NT,113,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,173,NT,NT,NT,NT,25,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,73,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,178,NT,NT,NT,NT,0,0,0,0,0,26,NT,NT,NT,NT
19,64733,0137521,2020-2021,148,NT,NT,NT,NT,88,NT,NT,NT,NT,60,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,NT,NT,NT,NT,30,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,41,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,139,NT,NT,NT,NT,0,0,0,0,0,18,NT,NT,NT,NT
30,66647,6030084,2020-2021,189,NT,NT,NT,NT,101,NT,NT,NT,NT,88,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,173,NT,NT,NT,NT,--,NT,NT,NT,NT,12,NT,NT,NT,NT,0,0,0,0,0,67,NT,NT,NT,NT,--,NT,NT,NT,NT,46,NT,NT,NT,NT,--,NT,NT,NT,NT,168,NT,NT,NT,NT,--,NT,NT,NT,NT,41,NT,NT,NT,NT
37,76471,0123042,2020-2021,334,NT,NT,NT,NT,178,NT,NT,NT,NT,156,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,31,NT,NT,NT,NT,237,NT,NT,NT,NT,--,NT,NT,NT,NT,37,NT,NT,NT,NT,17,NT,NT,NT,NT,44,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,130,NT,NT,NT,NT,0,0,0,0,0,50,NT,NT,NT,NT
20,10207,6077200,2020-2021,142,66,46.48,53.52,1.52,84,37,44.05,55.95,2.70,58,29,50.00,50.00,0.00,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,53,47.32,52.68,0.00,0,0,0,0,0,25,12,48.00,52.00,8.33,--,--,--,--,--,57,28,49.12,50.88,0.00,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,112,53,47.32,52.68,1.89,0,0,0,0,0,142,66,46.48,53.52,1.52
41,69070,6059984,2020-2021,566,490,86.57,13.43,33.26,294,249,84.69,15.31,27.94,272,241,88.60,11.40,38.75,--,--,--,--,--,20,16,80.00,20.00,43.75,--,--,--,--,--,41,39,95.12,4.88,58.97,462,399,86.36,13.64,29.47,--,--,--,--,--,16,12,75.00,25.00,45.45,16,15,93.75,6.25,53.33,197,165,83.76,16.24,4.85,0,0,0,0,0,14,8,57.14,42.86,--,0,0,0,0,0,389,334,85.86,14.14,27.63,--,--,--,--,--,98,79,80.61,19.39,5.19
37,68338,6039440,2020-2021,238,NT,NT,NT,NT,127,NT,NT,NT,NT,111,NT,NT,NT,NT,--,NT,NT,NT,NT,39,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,30,NT,NT,NT,NT,--,NT,NT,NT,NT,132,NT,NT,NT,NT,30,NT,NT,NT,NT,18,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,39,NT,NT,NT,NT,0,0,0,0,0,31,NT,NT,NT,NT
34,67330,6033203,2020-2021,203,NT,NT,NT,NT,117,NT,NT,NT,NT,86,NT,NT,NT,NT,0,0,0,0,0,37,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,50,NT,NT,NT,NT,--,NT,NT,NT,NT,64,NT,NT,NT,NT,39,NT,NT,NT,NT,19,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,43,NT,NT,NT,NT,0,0,0,0,0,28,NT,NT,NT,NT
29,66340,6027148,2020-2021,396,337,85.10,14.90,56.68,210,176,83.81,16.19,52.84,186,161,86.56,13.44,60.87,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,34,32,94.12,5.88,53.13,--,--,--,--,--,326,272,83.44,16.56,57.35,26,25,96.15,3.85,60.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,75,59,78.67,21.33,40.68,0,0,0,0,0,51,43,84.31,15.69,25.58
36,67934,6114698,2020-2021,564,NT,NT,NT,NT,276,NT,NT,NT,NT,288,NT,NT,NT,NT,--,NT,NT,NT,NT,17,NT,NT,NT,NT,0,0,0,0,0,11,NT,NT,NT,NT,417,NT,NT,NT,NT,38,NT,NT,NT,NT,56,NT,NT,NT,NT,23,NT,NT,NT,NT,26,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,309,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT
38,68478,6041016,2020-2021,110,3,2.73,97.27,--,54,0,0.00,100.00,--,56,3,5.36,94.64,--,--,--,--,--,--,48,3,6.25,93.75,--,--,--,--,--,--,--,--,--,--,--,20,0,0.00,100.00,--,--,--,--,--,--,19,0,0.00,100.00,--,16,0,0.00,100.00,--,40,0,0.00,100.00,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,33,2,6.06,93.94,--,0,0,0,0,0,14,2,14.29,85.71,--
48,70540,6051221,2020-2021,332,NT,NT,NT,NT,178,NT,NT,NT,NT,154,NT,NT,NT,NT,0,0,0,0,0,24,NT,NT,NT,NT,0,0,0,0,0,17,NT,NT,NT,NT,91,NT,NT,NT,NT,27,NT,NT,NT,NT,138,NT,NT,NT,NT,35,NT,NT,NT,NT,15,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,110,NT,NT,NT,NT,0,0,0,0,0,43,NT,NT,NT,NT
48,70581,4838058,2020-2021,29,NT,NT,NT,NT,18,NT,NT,NT,NT,11,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,--,NT,NT,NT,NT,11,NT,NT,NT,NT,15,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT
43,69427,4333639,2020-2021,224,76,33.93,66.07,54.67,116,48,41.38,58.62,58.33,108,28,25.93,74.07,48.15,--,--,--,--,--,17,11,64.71,35.29,72.73,--,--,--,--,--,11,6,54.55,45.45,--,175,51,29.14,70.86,44.00,--,--,--,--,--,11,5,45.45,54.55,--,0,0,0,0,0,36,9,25.00,75.00,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,149,48,32.21,67.79,57.45,--,--,--,--,--,29,9,31.03,68.97,--
19,64725,6015341,2020-2021,525,7,1.33,98.67,--,274,5,1.82,98.18,--,251,2,0.80,99.20,--,0,0,0,0,0,38,1,2.63,97.37,--,--,--,--,--,--,--,--,--,--,--,384,6,1.56,98.44,--,61,0,0.00,100.00,--,11,0,0.00,100.00,--,15,0,0.00,100.00,--,86,4,4.65,95.35,--,--,--,--,--,--,136,0,0.00,100.00,--,0,0,0,0,0,381,6,1.57,98.43,--,--,--,--,--,--,48,7,14.58,85.42,--
19,64568,6057715,2020-2021,786,NT,NT,NT,NT,411,NT,NT,NT,NT,375,NT,NT,NT,NT,0,0,0,0,0,13,NT,NT,NT,NT,--,NT,NT,NT,NT,47,NT,NT,NT,NT,356,NT,NT,NT,NT,--,NT,NT,NT,NT,352,NT,NT,NT,NT,--,NT,NT,NT,NT,227,NT,NT,NT,NT,--,NT,NT,NT,NT,110,NT,NT,NT,NT,--,NT,NT,NT,NT,613,NT,NT,NT,NT,0,0,0,0,0,98,NT,NT,NT,NT
54,71860,5430806,2020-2021,33,32,96.97,3.03,6.25,19,18,94.74,5.26,5.56,14,14,100.00,0.00,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,31,30,96.77,3.23,6.67,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,15,15,100.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,100.00,0.00,6.67,0,0,0,0,0,0,0,0,0,0
47,70250,4732707,2020-2021,15,10,66.67,33.33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,64.29,35.71,--,0,0,0,0,0,--,--,--,--,--
15,63321,6008866,2020-2021,317,NT,NT,NT,NT,153,NT,NT,NT,NT,164,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,281,NT,NT,NT,NT,22,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,151,NT,NT,NT,NT,--,NT,NT,NT,NT,18,NT,NT,NT,NT,0,0,0,0,0,310,NT,NT,NT,NT,12,NT,NT,NT,NT,40,NT,NT,NT,NT
19,64451,6012876,2020-2021,429,NT,NT,NT,NT,232,NT,NT,NT,NT,197,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,372,NT,NT,NT,NT,--,NT,NT,NT,NT,30,NT,NT,NT,NT,--,NT,NT,NT,NT,65,NT,NT,NT,NT,--,NT,NT,NT,NT,22,NT,NT,NT,NT,--,NT,NT,NT,NT,241,NT,NT,NT,NT,0,0,0,0,0,78,NT,NT,NT,NT
10,62166,6057343,2020-2021,827,NT,NT,NT,NT,436,NT,NT,NT,NT,391,NT,NT,NT,NT,--,NT,NT,NT,NT,42,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,470,NT,NT,NT,NT,91,NT,NT,NT,NT,169,NT,NT,NT,NT,39,NT,NT,NT,NT,37,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,465,NT,NT,NT,NT,0,0,0,0,0,111,NT,NT,NT,NT
04,61424,0123976,2020-2021,53,3,5.66,94.34,--,29,3,10.34,89.66,--,24,0,0.00,100.00,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2,7.41,92.59,--,--,--,--,--,--,19,1,5.26,94.74,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12,2,16.67,83.33,--,0,0,0,0,0,45,3,6.67,93.33,--,0,0,0,0,0,--,--,--,--,--
37,68098,0102608,2020-2021,280,NT,NT,NT,NT,153,NT,NT,NT,NT,127,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,264,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,181,NT,NT,NT,NT,--,NT,NT,NT,NT,56,NT,NT,NT,NT,0,0,0,0,0,265,NT,NT,NT,NT,--,NT,NT,NT,NT,58,NT,NT,NT,NT
49,73882,6060669,2020-2021,257,NT,NT,NT,NT,127,NT,NT,NT,NT,130,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,177,NT,NT,NT,NT,--,NT,NT,NT,NT,43,NT,NT,NT,NT,23,NT,NT,NT,NT,86,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,179,NT,NT,NT,NT,0,0,0,0,0,31,NT,NT,NT,NT
38,68478,6093496,2020-2021,61,NT,NT,NT,NT,34,NT,NT,NT,NT,27,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,37,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,22,NT,NT,NT,NT,0,0,0,0,0,42,NT,NT,NT,NT,0,0,0,0,0,18,NT,NT,NT,NT
41,69062,4136693,2020-2021,513,NT,NT,NT,NT,268,NT,NT,NT,NT,245,NT,NT,NT,NT,--,NT,NT,NT,NT,27,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,273,NT,NT,NT,NT,11,NT,NT,NT,NT,158,NT,NT,NT,NT,28,NT,NT,NT,NT,77,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,229,NT,NT,NT,NT,--,NT,NT,NT,NT,98,NT,NT,NT,NT
