C,D,S,SARCYear,ETES,ENTS,EPTS,EPNTS,EMES,ETEM,ENTM,EPTM,EPNTEM,EMMEM,ETEF,ENTF,EPTF,EPNTEF,EMMEF,ETEAI,ENTAI,EPTAI,EPNTAI,EMEAI,ETEAS,ENTAS,EPTAS,EPNTAS,EMEAS,ETEPI,ENTPI,EPTPI,EPNTPI,EMEPI,ETEFI,ENTFI,EPTFI,EPNTFI,EMEFI,ETEHI,ENTHI,EPTHI,EPNTHI,EMEHI,ETEAA,ENTAA,EPTAA,EPNTAA,EMEAA,ETEWH,ENTWH,EPTWH,EPNTWH,EMEWH,ETEMR,ENTMR,EPTMR,EPNTMR,EMEMR,ETELEP,ENTLEP,EPTLEP,EPNTLEP,EMELEP,ETEFY,ENTFY,EPTFY,EPNTFY,EMEFY,ETEH,ENTH,EPTH,EPNTH,EMEH,ETEMIL,ENTMIL,EPTMIL,EPNTMIL,EMEMIL,ETESD,ENTSD,EPTSD,EPNTSD,EMESD,ETEMIG,ENTMIG,EPTMIG,EPNTMIG,EMEMIG,ETEDI,ENTDI,EPTDI,EPNTDI,EMEDI
43,69690,6049282,2020-2021,196,NT,NT,NT,NT,103,NT,NT,NT,NT,93,NT,NT,NT,NT,0,0,0,0,0,15,NT,NT,NT,NT,--,NT,NT,NT,NT,14,NT,NT,NT,NT,135,NT,NT,NT,NT,--,NT,NT,NT,NT,13,NT,NT,NT,NT,14,NT,NT,NT,NT,98,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,NT,NT,NT,NT,0,0,0,0,0,30,NT,NT,NT,NT
09,73783,6110498,2020-2021,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--
30,64766,6020192,2020-2021,302,298,98.68,1.32,58.39,160,160,100.00,0.00,55.63,142,138,97.18,2.82,61.59,--,--,--,--,--,18,18,100.00,0.00,83.33,0,0,0,0,0,--,--,--,--,--,222,218,98.20,1.80,56.42,--,--,--,--,--,43,43,100.00,0.00,53.49,--,--,--,--,--,11,11,100.00,0.00,36.36,0,0,0,0,0,22,22,100.00,0.00,18.18,16,15,93.75,6.25,46.67,135,133,98.52,1.48,42.86,0,0,0,0,0,26,26,100.00,0.00,30.77
41,68866,6043434,2020-2021,215,201,93.49,6.51,92.54,98,92,93.88,6.12,95.65,117,109,93.16,6.84,89.91,0,0,0,0,0,62,62,100.00,0.00,93.55,--,--,--,--,--,--,--,--,--,--,19,17,89.47,10.53,100.00,--,--,--,--,--,80,73,91.25,8.75,93.15,51,47,92.16,7.84,89.36,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,17,13,76.47,23.53,76.92
19,64733,6018535,2020-2021,417,NT,NT,NT,NT,206,NT,NT,NT,NT,211,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,NT,NT,NT,NT,118,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,136,NT,NT,NT,NT,12,NT,NT,NT,NT,38,NT,NT,NT,NT,0,0,0,0,0,412,NT,NT,NT,NT,0,0,0,0,0,47,NT,NT,NT,NT
42,69310,4231452,2020-2021,158,NT,NT,NT,NT,102,NT,NT,NT,NT,56,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,--,NT,NT,NT,NT,138,NT,NT,NT,NT,--,NT,NT,NT,NT,15,NT,NT,NT,NT,--,NT,NT,NT,NT,34,NT,NT,NT,NT,--,NT,NT,NT,NT,36,NT,NT,NT,NT,0,0,0,0,0,133,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT
36,67686,6035745,2020-2021,296,NT,NT,NT,NT,156,NT,NT,NT,NT,140,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,248,NT,NT,NT,NT,29,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,63,NT,NT,NT,NT,--,NT,NT,NT,NT,30,NT,NT,NT,NT,0,0,0,0,0,280,NT,NT,NT,NT,0,0,0,0,0,40,NT,NT,NT,NT
19,64733,6018337,2020-2021,448,NT,NT,NT,NT,233,NT,NT,NT,NT,215,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,312,NT,NT,NT,NT,117,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,135,NT,NT,NT,NT,13,NT,NT,NT,NT,60,NT,NT,NT,NT,0,0,0,0,0,443,NT,NT,NT,NT,0,0,0,0,0,62,NT,NT,NT,NT
36,67934,3630100,2020-2021,18,NT,NT,NT,NT,14,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,15,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT
43,69377,6093041,2020-2021,255,NT,NT,NT,NT,144,NT,NT,NT,NT,111,NT,NT,NT,NT,--,NT,NT,NT,NT,102,NT,NT,NT,NT,--,NT,NT,NT,NT,40,NT,NT,NT,NT,74,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,20,NT,NT,NT,NT,75,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,75,NT,NT,NT,NT,0,0,0,0,0,23,NT,NT,NT,NT
44,69849,6049977,2020-2021,130,NT,NT,NT,NT,73,NT,NT,NT,NT,57,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,41,NT,NT,NT,NT,--,NT,NT,NT,NT,78,NT,NT,NT,NT,--,NT,NT,NT,NT,14,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,34,NT,NT,NT,NT,0,0,0,0,0,18,NT,NT,NT,NT
07,61796,6004931,2020-2021,211,NT,NT,NT,NT,124,NT,NT,NT,NT,87,NT,NT,NT,NT,0,0,0,0,0,30,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,114,NT,NT,NT,NT,36,NT,NT,NT,NT,13,NT,NT,NT,NT,--,NT,NT,NT,NT,84,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,76,NT,NT,NT,NT,0,0,0,0,0,41,NT,NT,NT,NT
01,61259,6114011,2020-2021,53,NT,NT,NT,NT,28,NT,NT,NT,NT,25,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,21,NT,NT,NT,NT,13,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT
43,69419,6047104,2020-2021,249,203,81.53,18.47,81.28,135,120,88.89,11.11,80.83,114,83,72.81,27.19,81.93,0,0,0,0,0,166,145,87.35,12.65,85.52,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,58,39,67.24,32.76,69.23,15,12,80.00,20.00,83.33,31,25,80.65,19.35,48.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,23,17,73.91,26.09,58.82
