,School,CDSCode,NCESCode,Magnet,Zip,Latitude,Longitude
422,Bay Area Technology,01612590106906,062805010720,N,94605-4109,37.766251,-122.15439
423,Oasis High,01612590107169,062805010721,No Data,94612-4123,37.8050962,-122.266036
425,Leadership Preparatory High,01612590107417,062805010723,No Data,94605-4037,No Data,No Data
428,Lighthouse Community Charter High,01612590108944,062805010726,N,94621-1418,37.737050,-122.19663
432,"Business, Entrepreneurial School of Technology High",01612590110171,062805011554,No Data,94607,37.817864,-122.27863
433,McClymonds High,01612590110189,062805011555,N,94607-3415,37.817864,-122.27863
438,Far West,01612590110361,062805011560,No Data,94618-1418,37.837197,-122.24923
440,Oakland Aviation High,01612590111823,062805011562,No Data,94621,No Data,No Data
441,AIMS College Prep High,01612590111856,062805011563,N,94607-2714,37.811503,-122.24905
448,Coliseum College Prep Academy,01612590112797,062805011920,N,94621-3506,37.761975,-122.19337
453,Oakland Charter High,01612590114868,062805012041,N,94601-2630,37.785856,-122.21961
456,ARISE High,01612590115238,062805012040,N,94601-2940,37.776162,-122.22506
457,Civicorps Corpsmember Academy,01612590115386,062805012056,N,94607-2507,37.798779,-122.28556
465,Oakland International High,01612590115667,062805012049,N,94609-2140,37.833534,-122.26018
466,East Oakland Leadership Academy High,01612590116137,062805012052,No Data,94605,37.771809,-122.19019
467,Aspire Golden State College Preparatory Academy,01612590118224,062805012331,N,94610-3430,37.759099,-122.19807
468,Ralph J. Bunche Continuation High,01612590118653,062805012325,N,94607-2223,37.813200,-122.28784
469,Gateway to College High at Laney College,01612590119859,062805012506,N,94607-4808,37.797155,-122.26377
473,Young Adult Program,01612590121228,062805012611,N,94607-2236,37.807414,-122.28962
474,Home and Hospital Program,01612590121376,062805012610,N,94608,37.838194972269925,-122.27437360937897
477,Castlemont High,01612590125161,062805012992,N,94605-4037,37.759536,-122.16291
478,Fremont High,01612590125716,062805013062,N,94601-4618,37.774400,-122.20972
480,LPS Oakland R & D Campus,01612590126748,062805013155,N,94605-4037,37.759536,-122.16291
483,East Bay Innovation Academy,01612590129932,062805013735,N,94605-5353,37.746172,-122.14121
487,Rudsdale Continuation High,01612590130146,062805007326,N,94605-4109,37.766251,-122.15439
490,Street Academy Alternative High,01612590130179,062805007804,N,94609-3510,37.817842,-122.26548
502,Merritt Middle College High (Alternative),01612590130526,062805005665,No Data,94607,37.78986994336252,-122.16845131807857
504,LIFE Academy,01612590130575,062805008676,N,94601-3124,37.784286,-122.21676
505,University Preparatory Charter Academy,01612590130591,062805010407,No Data,94605,39.7574316,-75.570115
506,"Oakland Military Institute, College Preparatory Academy",01612590130617,062805010729,N,94608-3822,37.829395,-122.27234
509,Aspire Lionel Wilson College Preparatory Academy,01612590130666,062805010459,N,94603-2968,37.729387,-122.18048
510,School of Social Justice and Community Develo,01612590130674,062805010460,No Data,94621,37.753588,-122.17709725
516,Leadership Preparatory High,01612590132092,062805004247,No Data,94605-4037,No Data,No Data
518,Conservatory of Vocal/Instrumental Arts High,01612590132555,062805013888,N,94619-3107,37.789553,-122.16561
519,Dewey Academy High,01612590132688,062805004255,N,94606-2285,37.796705,-122.25817
520,Fremont Federation,01612590133132,062805004262,No Data,94601,37.774113150000005,-122.20940278738448
523,McClymonds Senior High,01612590134791,062805004300,No Data,94607-3415,37.81795577729935,-122.27868663019028
527,Oakland High,01612590135905,062805004304,N,94610-3930,37.805290,-122.23652
529,Oakland Technical High,01612590136051,062805004305,N,94611-4612,37.831725,-122.25413
530,Skyline High,01612590137943,062805004315,N,94619-2425,37.797495,-122.16360
531,Oakland School for the Arts,01612593030772,062805010461,N,94612-1512,37.807834,-122.27113
609,Madison Park Academy 6-12,01612596066450,062805004278,N,94603-3520,37.727775,-122.17918
621,Hillside Academy,01612596098701,062805004244,No Data,94605,37.759698,-122.16673
626,"Independent Study, Sojourner Truth",01612596114011,062805005701,N,94605-4109,37.766765,-122.15353
640,Ralph J. Bunche Academy,01612596120778,062805010465,No Data,94607,37.81304568300199,-122.28761422762574
647,Millennium High Alternative,01612750130286,063033007819,N,94611-4029,37.822804,-122.23393
648,Piedmont High,01612750136515,063033004731,N,94611-4029,37.823674,-122.23290
662,Lincoln High (Continuation),01612910134528,063468005835,N,94579-1222,37.708315,-122.15987
665,San Leandro High,01612910137588,063468005842,N,94577-6108,37.717128,-122.14256
683,East Bay Arts High,01613090111799,063471011567,N,94580-1732,37.688571,-122.12252
684,KIPP King Collegiate High,01613090114421,063471011893,N,94580-1315,37.674319,-122.15009
688,Arroyo High,01613090130849,063471005845,N,94580-1407,37.680810,-122.13836
691,Royal Sunset (Continuation),01613090137745,063471005858,N,94541-4712,37.668976,-122.11506
692,San Lorenzo High,01613090137810,063471005859,N,94580-1732,37.686688,-122.12256
735,Dublin High,01750930132704,060001909273,N,94568-1656,37.720996,-121.92639
738,Dublin Unified Transition Program,01750930138164,060001914338,N,94568-2153,37.709575,-121.92108
739,Valley High (Continuation),01750930138453,060001909274,N,94568-1656,37.720977,-121.92164
753,Foothill High,01751010130096,060002009279,N,94588-9799,37.671579,-121.91994
754,Village High,01751010130252,060002009280,N,94566-7449,37.655190,-121.87514
757,Amador Valley High,01751010130583,060002009282,N,94566-6176,37.668296,-121.87327
772,Bay Area School for Independent Study B.A.S.I.S.,01751190130641,060002110468,No Data,94560,No Data,No Data
782,Alpine County Opportunity,02100250230011,069105806965,N,96120-9522,38.766195,-119.80692
787,Alpine County Secondary Community Day,02613330230029,060207006968,N,96120-9522,38.766357,-119.80885
788,Bear Valley High,02613330230045,060207007943,No Data,95223,38.464800,-120.03910
802,County Community,03100330330035,069100109474,N,95685-9669,38.377473,-120.80822
803,Amador County Special Education,03100330330068,069100106970,N,95642-2020,38.352665,-120.77703
808,James A. Wieden High,03322760337352,060005007487,No Data,95640,38.3656768,-120.9302044
826,Independence High (Continuation),03739810330019,060245008785,N,95685-9669,38.377737,-120.80852
828,North Star Academy,03739810330050,060245006975,N,95685-9669,38.377737,-120.80852
829,Amador High,03739810330753,060245008786,N,95685-9701,38.398775,-120.80970
831,Argonaut High,03739810334755,060245008787,N,95642-2020,38.353826,-120.79177
843,South County Community,04100410106492,069100210739,No Data,95965,No Data,No Data
844,North County Community,04100410106500,069100210740,No Data,95928,No Data,No Data
845,CORE Butte Charter,04100410114991,069100211953,N,95928-8319,39.705892,-121.78913
849,Butte County Community,04100410129817,069100213783,N,95928-5626,39.728238,-121.83577
851,Come Back Butte Charter,04100410134213,069100214048,N,95966,39.505463,-121.55343
853,BASES Learning Center,04100410139493,069100214445,N,95966-5113,39.513010,-121.54623
857,Table Mountain,04100410430066,069100209213,N,95965-4937,39.528980,-121.56986
859,Hearthstone,04100410430090,069100205704,N,95965-3261,39.525713,-121.57830
860,School of Applied Resources,04100410430165,069100208447,No Data,95928,39.71258687755102,-121.78628155102041
861,Butte County Community,04100410430173,069100208448,No Data,95928,No Data,No Data
862,South County Community Day,04100410430181,069100208449,No Data,95965,No Data,No Data
869,Butte County Special Education,04100416069256,069100209214,N,95965-4854,39.512653,-121.55663
875,Oak Hills Academy,04614080109868,060504010741,No Data,95917,No Data,No Data
876,Biggs Secondary Community Day,04614080430207,060504008683,N,95917-9732,39.414988,-121.70380
877,Biggs High,04614080430827,060504000486,N,95917-9732,39.416091,-121.70642
884,Academy for Change,04614240111039,060837011853,N,95926-1122,39.758522,-121.85838
886,Inspire School of Arts and Sciences,04614240120394,060837012539,N,95926-3908,39.735165,-121.84863
891,Center for Alternative Learning,04614240123976,060837012830,N,95926-1122,39.758466,-121.85846
892,Pivot Charter School North Valley II,04614240137828,060837014363,N,95928-7395,39.734808,-121.82143
895,Oakdale,04614240430199,060837008450,N,95926-1122,39.758466,-121.85846
896,Loma Vista,04614240430215,060837010469,N,95926-1615,39.759482,-121.81322
897,Fair View High (Continuation),04614240431502,060837000818,N,95926-1122,39.758826,-121.85785
899,Chico High,04614240431676,060837000815,N,95926-3908,39.735929,-121.84452
900,Pleasant Valley High,04614240437558,060837000827,N,95926-1699,39.761160,-121.81713
927,Mission High,04614320430124,061173007488,No Data,95938,39.646267,-121.80314
928,Durham High,04614320433201,061173001296,N,95938-9426,39.646267,-121.80314
933,Pivot Charter School North Valley,04614570125252,061548013032,N,95928-8419,39.747411,-121.79228
942,Esperanza High (Cont),04614730433946,No Data02015,N,95948-2235,39.3670839618612,-121.68421117772876
943,Gridley High,04614730433953,No Data02016,N,95948-2235,39.367081,-121.68148
948,Ipakanni Early College Charter,04615070121509,062910012613,N,95966-8887,39.513060,-121.55368
963,Challenge Charter High,04615150430116,062913007489,No Data,95966,39.51021879073145,-121.54393935130115
965,Las Plumas High,04615150434803,062913004495,N,95966-7305,39.480408,-121.54100
966,Oroville High,04615150435602,062913004496,N,95966-5060,39.514321,-121.54591
967,Prospect High (Continuation),04615150437566,062913004497,N,95965-3497,39.521372,-121.56960
980,Paradise eLearning Academy,04615310121715,062982012676,N,95969-4023,39.761658,-121.61238
983,Paradise Adult,04615310430025,062982012594,No Data,95969-5132,39.752247,-121.60983
984,Honey Run Academy Secondary,04615310430108,062982008451,N,95969-5133,39.752247,-121.60983
985,Paradise Charter Network (155),04615310430132,062982007949,No Data,95969,39.75214286738818,-121.61002375237973
986,Ridgeview High (Continuation),04615310432856,062982004642,N,95954-0640,39.812391,-121.60053
987,Paradise Senior High,04615310437350,062982004640,N,95969-4023,39.760995,-121.61330
995,HomeTech Charter,04615316112585,062982004345,N,95969-4534,39.756541,-121.62634
1017,Esperanza High (Continuation),04755070433946,060005102015,N,95948-2538,39.365221,-121.69345
1018,Gridley High,04755070433953,060005102016,N,95948-2235,39.367009,-121.68430
1026,Calaveras River Academy,05100580530048,069100309215,N,95249,38.188474,-120.69093
1029,Mountain Oaks,05100580530154,069100308686,N,95249,38.188474,-120.69093
1032,Calaveras County Special Education (SELPA),05100586077150,069100310746,N,95221,38.078894,-120.55324
1033,Oakendell Community,05100589010745,069100311572,N,95249,38.231633,-120.65513
1036,Vallecito Continuation High,05615560530014,060594000538,N,95221,38.079472,-120.55200
1040,John Vierra High,05615560530121,060594006991,N,95221,38.079420,-120.55214
1041,Bret Harte Union High,05615560532507,060594000537,N,95221-0208,38.081079,-120.55182
1043,Gold Strike High,05615640530022,060687000627,N,95249,38.200130,-120.68456
1045,Calaveras Unified Alternative-Sierra Hills Education Center,05615640530055,060687009340,N,95249-0178,38.212695,-120.68649
1046,West Point Alternative,05615640530063,060687009521,No Data,95248,38.398752,-120.52647
1047,Jenny Lind High,05615640530113,060687005719,No Data,95252,38.096882,-120.87152
1049,Calaveras High,05615640531509,060687000625,N,95249-0607,38.200477,-120.68382
1074,Coastal Buttes Academy,06100660136580,069100407910,N,95987-5830,39.160044,-122.13647
1077,S. William Abel Academy,06100660630111,069100407491,N,95987-5815,39.160044,-122.13647
1078,Juvenile Hall-Nielson,06100660634774,069100407377,No Data,95979-0189,39.355953,-122.65603
1079,Colusa County Special Education,06100666069264,069100407910,N,95987-5815,39.162057,-122.13798
1081,Colusa Alternative High (Continuation),06615980630012,060957008128,N,95932-3024,39.199237,-122.02091
1083,Colusa Alternative Home,06615980630046,060957004434,N,95932-2220,39.210701,-122.01657
1085,Colusa High,06615980631259,060957000966,N,95932-3024,39.200800,-122.02070
1091,Enid Prine High (Continuation),06616060630095,062415002912,No Data,95955-0788,39.276199,-122.20374
1092,Maxwell Sr High,06616060634758,062415003642,N,95955-0788,39.276200,-122.20354
1095,Arbuckle Alternative High (Continuation),06616140630087,063036002931,N,95912-9714,39.009970,-122.05599
1098,Pierce High,06616140635250,063036004736,N,95912-9714,39.009385,-122.05599
1107,Mid Valley High (Continuation),06616220630038,064254000117,N,95987-0007,39.153740,-122.15548
1110,Williams Junior/Senior High,06616220637504,064254006964,N,95987,39.156417,-122.15841
1114,Far East County Programs,07100740107326,069100510748,N,94513-1132,37.934897,-121.69510
1115,Central County Special Education Programs,07100740107334,069100510749,N,94507-1614,37.857903,-122.01990
1116,CCCOE Special Education Programs,07100740107342,069100510750,N,94509-3944,38.003797,-121.85055
1117,Making Waves Academy,07100740114470,069100512043,N,94806-1942,37.988463,-122.33185
1118,Heritage CCCOE Special Education Programs,07100740118208,069100512255,N,94513-4604,37.925177,-121.75251
1119,Mt. McKinley,07100740120444,069100512486,N,94553,37.988924,-122.08743
1121,Summit Public School K2,07100740129684,069100513776,N,94530-1925,37.925768,-122.31341
1122,Contra Costa School of Performing Arts,07100740134114,069100514059,N,94598-1602,37.930349,-122.02460
1128,Delta Vista High,07100740730242,069100509216,N,94514,37.875004,-121.62312
1129,Edgar Center,07100740730556,069100508687,No Data,94553,37.98762945489463,-122.0874714608847
1130,Golden Gate Community,07100740730614,069100510472,N,94565-5466,38.003885,-121.87747
1132,Clayton Valley Charter High,07100740731380,069100503940,N,94521-3799,37.950133,-121.96702
1148,Floyd I. Marchus,07100746077168,069100509217,N,94520-5404,37.995708,-122.04719
1164,Acalanes Center for Independent Study,07616300107524,060165010751,N,94595-2201,37.877664,-122.07422
1166,Acalanes High,07616300730283,060165000032,N,94549-2623,37.904313,-122.09906
1167,Campolindo High,07616300731125,060165000033,N,94556-2402,37.863519,-122.12464
1168,Del Oro High (Continuation),07616300732404,060165000034,No Data,94595-2295,37.877664,-122.07422
1170,Las Lomas High,07616300733725,060165000035,N,94596-5319,37.890139,-122.05741
1171,Miramonte High,07616300734244,060165000036,N,94563-4330,37.842329,-122.14438
1176,Bidwell Continuation High,07616480110494,060285011573,N,94509-2763,37.999879,-121.79336
1179,Dozier-Libbey Medical High,07616480117218,060285012278,N,94531-8680,37.948070,-121.76817
1184,Live Oak High (Continuation),07616480730101,060285000213,N,94509-2225,38.006065,-121.81260
1186,Prospects High (Alternative),07616480730259,060285009517,N,94509-1145,38.016969,-121.81619
1187,Deer Valley High,07616480730465,060285005724,N,94531-8486,37.965730,-121.77968
1189,Excel High,07616480730531,060285008453,No Data,94565-5197,38.008215,-121.85777
1191,Antioch High,07616480730861,060285000207,N,94509-1576,38.006279,-121.81595
1221,Vista Oaks Charter,07616630130930,060675013821,N,95242-3322,38.129698,-121.30658
1230,John Swett High,07616970737023,061899002302,N,94525-1426,38.052381,-122.22105
1231,Willow High,07616970737619,061899002303,N,94525-0916,38.052867,-122.22173
1253,Heritage High,07617210107797,062160010755,N,94513-4604,37.925177,-121.75251
1255,Freedom High,07617210730457,062160005726,N,94561-3843,37.969082,-121.71575
1256,Independence High,07617210730572,062160008457,N,94513-1137,37.935661,-121.69596
1257,Liberty High,07617210733980,062160002573,N,94513-1132,37.934897,-121.69510
1258,La Paloma High (Continuation),07617210733998,062160002572,N,94513-5314,37.919921,-121.68167
1263,Vicente Martinez High,07617390730440,062403001966,N,94553-3212,38.014646,-122.13226
1264,Briones (Alternative),07617390730473,062403007071,N,94553-3212,38.014789,-122.13202
1265,Alhambra Senior High,07617390730549,062403003612,N,94553-3139,38.002496,-122.13371
1287,Crossroads High,07617540138115,062637000183,N,94519-2590,37.979488,-122.02779
1289,Glenbrook Academy,07617540140442,062637014515,N,94520-1626,37.995602,-122.03579
1290,Northgate High,07617540730044,062637003961,N,94598-4599,37.910096,-122.00698
1296,Horizons School: Independent Study,07617540730317,062637009946,N,94523-4496,37.935713,-122.06812
1298,Nueva Vista High (Continuation),07617540730341,062637010196,N,94521-1094,37.976475,-121.98860
1299,Prospect High (Continuation),07617540730358,062637010197,N,94523-4417,37.935744,-122.06813
1300,Adelante High (Continuation),07617540730408,062637000181,No Data,94520-2251,37.98185465,-122.0381126324483
1301,Crossroads High (Alternative),07617540730416,062637000183,N,94519-1102,37.979417,-122.02773
1302,Summit High (Continuation),07617540730424,062637000185,N,94521-1059,37.976475,-121.98860
1303,Diablo Community Day,07617540730655,062637008458,N,94518-3833,37.944889,-122.04434
1304,College Park High,07617540731646,062637003941,N,94523-1809,37.965869,-122.07185
1305,Concord High,07617540731836,062637003942,N,94521-1059,37.976475,-121.98860
1307,Mt. Diablo High,07617540734566,062637003960,N,94520-2251,37.982880,-122.03631
1308,Olympic Continuation High,07617540734764,062637003963,N,94519-2599,37.980697,-122.02809
1312,Ygnacio Valley High,07617540737809,062637003986,N,94518-2899,37.936674,-122.02325
1371,Home and Hospital,07617546104350,062637009407,No Data,94523,37.93371,-122.081728
1403,Black Diamond High (Continuation),07617880730184,063060007821,N,94565-5466,38.003966,-121.87774
1405,Pittsburg Unified Community Day,07617880730507,063060007078,No Data,94565,31.8428242,-109.9137191
