,School,CDSCode,NCESCode,Magnet,Zip,Latitude,Longitude
4101,Littlerock High,19642461995406,060282009516,N,93543-4106,34.572721,-117.93595
4102,Lancaster High,19642461995844,060282004582,N,93536-7023,34.694853,-118.18835
4103,Phoenix High Community Day,19642461995968,060282005827,N,93535-1809,34.711275,-118.12862
4105,Desert Sands Charter,19642461996537,060282008714,N,93534-4045,34.684768,-118.16417
4106,R. Rex Parris High,19642461996644,060282010514,N,93550-3346,34.587457,-118.11952
4109,Arcadia High,19642611930288,060297000223,N,91007-6958,34.130636,-118.03865
4110,Rancho Learning Center (Alternative),19642611995299,060297009302,N,91006-3703,34.138031,-118.02352
4127,Azusa High,19642791930528,060360000268,N,91702-3733,34.125392,-117.89936
4128,Sierra High,19642791931765,060360000283,N,91702-4837,34.113828,-117.88658
4130,Gladstone High,19642791933449,060360000273,N,91722-1214,34.104997,-117.91436
4150,Opportunities For Learning - Baldwin Park II,19642870114397,060369012018,N,91107-3147,34.152079,-118.07903
4152,Baldwin Park High,19642871930601,060369000324,N,91706-4428,34.083315,-117.94995
4153,North Park Continuation High,19642871936384,060369000335,N,91706-2703,34.095624,-117.95760
4154,Sierra Vista High,19642871938166,060369000338,N,91706-3897,34.076695,-117.98053
4155,Baldwin Park Alternative,19642871995331,060369007512,No Data,91706,34.098336,-117.96483
4157,Opportunities for Learning - Baldwin Park,19642871996479,060369008715,N,91706-3670,34.079021,-117.99434
4178,Bassett Senior High,19642951930700,060411000371,N,91746-2163,34.051475,-117.97642
4179,Nueva Vista Continuation High,19642951936491,060411000375,N,91746-1696,34.052426,-117.97238
4190,Las Flores Home Education Independent Study Academy,19643030128306,060444013706,N,90706-6013,33.876682,-118.11981
4192,Bellflower High,19643031930775,060444000396,N,90706-4101,33.894402,-118.11310
4193,Mayfair High,19643031935618,060444000402,N,90713-1124,33.863670,-118.11714
4194,Somerset Continuation High,19643031938190,060444000408,N,90706-7607,33.882868,-118.13755
4195,Bellflower Alternative Education Center,19643031995679,060444005832,N,90706-5203,33.882908,-118.13400
4215,Beverly Hills High,19643111930981,060483000471,N,90212-3639,34.062080,-118.41057
4216,Moreno High (Continuation),19643111931021,060483000470,N,90212-3640,34.062514,-118.41021
4222,Adult Transition Program,19643290130963,060561013847,N,91773-2476,34.097867,-117.82516
4223,Bonita High,19643291931088,060561000505,N,91750-4023,34.107804,-117.76729
4224,Chaparral High (Continuation),19643291937598,060561000506,N,91773-1437,34.117535,-117.80643
4225,San Dimas High,19643291937739,060561000514,N,91773-1473,34.099307,-117.82293
4243,Burbank Unified Independent Learning Academy (BUILA),19643370131573,060645013886,N,91505,34.177480,-118.35165
4245,Burbank High,19643371931187,060645000563,N,91502-1018,34.188238,-118.31597
4247,Burroughs High,19643371931237,060645000564,N,91506-1918,34.170460,-118.32714
4248,Monterey High (Continuation),19643371933332,060645008120,N,91506-1107,34.186362,-118.33172
4249,Magnolia Park,19643371995877,060645005849,N,91506-1107,34.186605,-118.33202
4250,Options for Youth-Burbank Charter,19643371996099,060645007514,N,91506-1311,34.181820,-118.32893
4251,Burbank USD Community Day,19643371996230,060645008013,N,91502-1447,34.178221,-118.30452
4278,Media Art Academy at Centinela,19643520101642,060792010824,No Data,90250,No Data,No Data
4279,Centinela Valley Independent Study,19643520118521,060792012265,N,90260-4204,33.895165,-118.36599
4280,Family First Charter,19643520128488,060792013705,N,90250-4330,33.919062,-118.35655
4281,New Opportunities Charter,19643520128496,060792013732,N,90301-1768,33.962811,-118.35277
4282,South Bay Academy Community Day,19643520128900,060792013678,N,90260-3717,33.874157,-118.35282
4283,R. K. Lloyde High,19643521930239,060792000760,N,90260-1251,33.895165,-118.36599
4285,Hawthorne High,19643521933951,060792000756,N,90250-4204,33.916456,-118.36290
4286,Lawndale High,19643521934926,060792007515,N,90260-1251,33.896373,-118.36136
4288,Leuzinger High,19643521935048,060792000759,N,90260-1601,33.901370,-118.34687
4291,Arrow High (Continuation),19643781930312,060819000798,N,91740-5839,34.112556,-117.84643
4293,Charter Oak High,19643781931666,060819000801,N,91724-1651,34.099370,-117.86137
4296,Oak Knoll Alternative,19643781995885,060819005854,N,91740-5839,34.112556,-117.84643
4297,Bridges Community Day,19643781995927,060819005856,N,91740-5839,34.112556,-117.84643
4310,San Antonio High (Continuation),19643941931807,060876000893,N,91711-5205,34.083226,-117.71552
4311,Claremont High,19643941931823,060876000887,N,91711-2643,34.112944,-117.72041
4329,Fairvalley High (Continuation),19644361931617,061005001090,N,91722-2065,34.101144,-117.90455
4331,Covina High,19644361932086,061005001093,N,91723-2955,34.081555,-117.89900
4333,Northview High,19644361936418,061005001102,N,91722-3145,34.095751,-117.91104
4334,South Hills High,19644361938372,061005001105,N,91723-0269,34.062090,-117.88263
4336,Ranger High (Alternative),19644361995562,061005010236,No Data,91723-0269,34.10393340688763,-117.88753035932577
4360,Culver City Unified School District iAcademy,19644440128322,061026013708,N,90230,34.021122,-118.39646
4361,Culver City Independent Study,19644441930031,061026009774,No Data,90230,33.992816,-118.40022
4363,Culver City High,19644441932201,061026001116,N,90230-4101,34.007671,-118.40207
4364,Culver Park High,19644441932656,061026007691,N,90230-4103,34.006644,-118.40103
4365,Culver City Community Day,19644441996255,061026008016,No Data,90232,34.022801539218335,-118.39276590233317
4380,Columbus (Christopher) High,19644511931625,061146001262,N,90241-5610,33.919660,-118.11662
4382,Downey High,19644511932441,061146001264,N,90241-3816,33.939009,-118.12902
4383,Rancho Los Amigos Hospital,19644511937119,061146007276,No Data,90241-7017,33.92733740475286,-118.1588467723724
4384,Warren (Earl) High,19644511939164,061146001278,N,90241-5102,33.934857,-118.14069
4415,Opportunities for Learning - Duarte,19644690128736,061152013697,N,91010-2453,34.139552,-117.97985
4416,California School of the Arts - San Gabriel Valley,19644690134858,061152014083,N,91010-2523,34.136932,-117.96885
4417,"Options For Youth - Duarte, Inc",19644690139535,061152014438,N,91744-2203,34.035760,-117.93534
4418,Duarte High,19644691932482,061152001284,N,91010-2505,34.136066,-117.97128
4419,Mt. Olive Innovation and Technology High,19644691936079,061152001286,N,91010-2675,34.137288,-117.95503
4476,Arroyo High,19645191930320,061212001363,N,91732-1099,34.093681,-118.02059
4478,El Monte High,19645191932664,061212001364,N,91731-3365,34.064316,-118.03583
4479,Mountain View High,19645191932680,061212001365,N,91732-3695,34.053827,-118.01070
4481,Rosemead High,19645191937481,061212001366,N,91770-4411,34.083794,-118.07156
4482,Fernando R. Ledesma Continuation High,19645191938919,061212001367,N,91732-2569,34.076703,-118.00228
4483,South El Monte High,19645191995661,061212000439,N,91733-4409,34.035173,-118.04510
4484,El Monte Union High School Community Day,19645191996123,061212007516,N,91731-5405,34.093468,-118.02649
4486,Eugene A. Obregon,19645270118547,061218012230,No Data,90660,34.018341,-118.06178
4489,Ellen Ochoa Prep Academy,19645270133835,061218013988,Y,90660-4814,33.969865,-118.11276
4490,Ruben Salazar Continuation,19645271932698,061218001383,N,90660-3225,33.987906,-118.09082
4491,El Rancho High,19645271932706,061218001372,N,90660-3373,33.984147,-118.08696
4512,Arena High (Continuation),19645351930353,061221008826,N,90245-3036,33.923914,-118.41230
4513,El Segundo High,19645351932763,061221001388,N,90245-3057,33.924213,-118.41588
4547,Crescenta Valley High,19645681932144,061524001923,N,91214-3471,34.223671,-118.24220
4549,Daily (Allan F.) High (Continuation),19645681933472,061524001924,N,91206-4209,34.148500,-118.25130
4551,Glendale High,19645681933530,061524001931,N,91205-1503,34.146175,-118.23259
4552,Herbert Hoover High,19645681934082,061524001933,N,91202-1552,34.165339,-118.27045
4553,Verdugo Academy,19645681995497,061524000440,N,91214-1814,34.239338,-118.25739
4554,Anderson W. Clark Magnet High,19645681996131,061524007518,Y,91214-1841,34.236926,-118.25305
4586,College View,19645686099022,061524001930,N,91207-1246,34.164915,-118.23006
4591,Glendora High,19645761933597,061527001953,N,91741-3024,34.136125,-117.83549
4592,Whitcomb Continuation High,19645761939677,061527001960,N,91740-4399,34.125023,-117.86842
4608,Gorman Learning Center,19645841996305,061560008502,N,92374-2821,34.067810,-117.21700
4609,Lifeline Education Charter,19645841996677,061560010515,No Data,90221,61.613785675292284,-149.10946730615512
4611,Gorman Middle,19645846114268,061560007110,No Data,93243,No Data,No Data
4613,Hawthorne Math and Science Academy,19645920100354,061668011295,N,90250-3819,33.920043,-118.35406
4614,Academy for Recording Arts,19645920118505,061668012354,No Data,90250-8208,33.902866,-118.32868
4627,Opportunities for Learning - Hermosa Beach,19646000120543,061704012461,N,90250,33.908480,-118.35249
4628,"Options for Youth-Hermosa Beach, Inc.",19646000120550,061704012508,N,91405,34.191519,-118.44824
4650,Inglewood High,19646341934231,061839002254,N,90301-2323,33.961275,-118.35507
4651,Inglewood Continuation High,19646341934249,061839003213,N,90301-2521,33.956734,-118.36312
4652,Morningside High,19646341936046,061839002260,N,90303-2003,33.940768,-118.33511
4655,City Honors International Preparatory High,19646341996529,061839008716,N,90301-1225,33.963561,-118.35618
4656,Animo Inglewood Charter High,19646341996586,061839010538,N,90305-2101,33.960029,-118.33138
4676,Sage Oak Charter School- Keppel,19646420136127,061944014092,N,92373-3913,34.038346,-117.15383
4686,La Canada Continuation,19646591934603,062013002406,No Data,91011-3738,34.193642409174295,-118.1781383081169
4687,La Canada High,19646591934611,062013002408,N,91011-3738,34.188090,-118.17900
4688,Foothills (Special Education),19646591995950,062013007111,No Data,91011,34.205641,-118.20363
4730,Agoura High,19646831930080,062100002518,N,91301-3335,34.151040,-118.74948
4731,Indian Hills Continuation High,19646831931260,062100002521,N,91301-3335,34.150990,-118.74938
4732,Calabasas High,19646831931781,062100002519,N,91302-2047,34.138162,-118.62343
4749,Environmental Charter High - Lawndale,19646911996438,062121008718,N,90260-2858,33.882553,-118.35488
4762,"Lennox Mathematics, Science and Technology Academy",19647090100602,062142011328,N,90304-2316,33.935280,-118.35250
4767,Animo Leadership High,19647091996313,062142008504,N,90301-2902,33.934769,-118.34770
4789,Select Community Day (Secondary),19647250101741,062250011291,N,90815-2527,33.797004,-118.13619
4792,Rosie the Riveter Charter High,19647250115378,062250012163,No Data,90803,33.77109164646465,-118.10306628282828
4795,Colegio New City,19647250118471,062250012381,No Data,90813,33.788153,-118.18948
4796,Beach K-12 Independent Study,19647250125153,062250013001,N,90810-3400,33.797632,-118.21837
4797,"Ernest S. McBride, Sr. High",19647250127381,062250013105,Y,90808-2319,33.829473,-118.09678
4799,Clear Passage Educational Center,19647250131938,062250013860,N,90813-2162,33.784522,-118.18094
4800,Eunice Sato Academy of Math & Science,19647250132324,062250013896,N,90815-4649,33.780885,-118.10513
4802,Richard D. Browning High,19647250135525,062250014120,N,90804,33.795479,-118.15457
4803,Avalon K-12,19647251930411,062250007299,N,90704-0557,33.338840,-118.33255
4805,Jordan High,19647251934470,062250002728,Y,90805-2304,33.872497,-118.18592
4806,Lakewood High,19647251934678,062250002733,Y,90713-2512,33.837900,-118.12318
4808,Millikan High,19647251935758,062250002745,Y,90815-1436,33.807320,-118.11170
4809,Polytechnic High,19647251936947,062250002751,Y,90813-2017,33.787163,-118.18496
4810,Reid High,19647251937176,062250002753,N,90810-3400,33.797123,-118.22045
4811,Wilson High,19647251939875,062250002769,Y,90804-4310,33.778903,-118.14152
4813,California Academy of Mathematics and Science,19647251995539,062250009901,Y,90747-0001,33.867102,-118.25869
4814,Educational Partnership High,19647251995570,062250010239,N,90813-1770,33.788846,-118.19499
4816,Cabrillo High,19647251995935,062250005870,Y,90810-4068,33.793514,-118.21559
4818,Premiere Education Charter,19647251996339,062250008505,No Data,90805,33.85440163265306,-118.18617122448978
4819,Pacific Learning Center Charter,19647251996362,062250008506,No Data,90813,33.77631545714286,-118.18491925714285
4820,Promise Academy,19647251996461,062250008719,No Data,90805,33.861374530612245,-118.18507579591837
4821,Renaissance High School for the Arts,19647251996503,062250008720,Y,90813-4311,33.776825,-118.19041
4911,High Tech LA,19647330100677,062271010829,N,91406-5455,34.187307,-118.50588
4913,Wallis Annenberg High,19647330100750,062271011365,N,90037-1022,34.010434,-118.27393
4916,Central City Value,19647330100800,062271011337,N,90004-4815,34.074782,-118.28790
4918,ICEF View Park Preparatory High,19647330101196,062271011358,N,90043-2409,33.989720,-118.33107
4920,William J. Johnston Community Day,19647330101329,062271011307,N,90731-1162,33.765139,-118.29943
4924,"CATCH Prep Charter High, Inc.",19647330101659,062271011312,N,90008-3712,34.009559,-118.32950
4925,Oscar De La Hoya Animo Charter High,19647330101675,062271011313,N,90023-2915,34.023419,-118.20370
4926,Renaissance Arts Academy,19647330101683,062271011314,N,90065-1324,34.108011,-118.24172
4927,Los Angeles Educational Achievement Partnership,19647330101691,062271010832,No Data,91311,34.23824543317324,-118.58932215647756
4928,Aggeler Community Day,19647330102137,062271011315,N,91311-4903,34.242728,-118.59270
4930,Renaissance Academy Charter High,19647330102350,062271010834,No Data,90025,34.035092,-118.457043
4932,Animo South Los Angeles Charter,19647330102434,062271010836,N,90047-4845,33.933015,-118.30829
4936,New Designs Charter,19647330102541,062271010840,N,90007-2504,34.030857,-118.27494
4938,Richard A. Alonzo Community Day,19647330102764,062271010842,N,90028-8531,34.094796,-118.31506
4939,Middle College High,19647330102913,062271010843,N,90047-4810,33.929468,-118.24623
4940,Dr. Richard A. Vladovic Harbor Teacher Preparation Academy,19647330102921,062271010844,N,90744-2311,33.783613,-118.28126
4941,Ivy Academia,19647330106351,062271010845,N,91367-3329,34.178371,-118.61553
4943,Camino Nuevo Charter High,19647330106435,062271010847,N,90026-6115,34.057982,-118.25793
4944,Animo Venice Charter High,19647330106831,062271010848,N,90291-3408,33.997083,-118.46357
4945,Animo Pat Brown,19647330106849,062271010849,N,90001-4014,33.963087,-118.24216
4947,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,19647330106864,062271010851,N,90007-1326,34.036313,-118.28256
4957,Orthopaedic Hospital,19647330106997,062271010861,Y,90007-2612,34.029031,-118.27062
4958,Northridge Academy High,19647330107003,062271010862,N,91325-2010,34.244990,-118.52333
4959,International Studies Learning Center at Legacy High School Complex,19647330107011,062271010863,N,90280-5332,33.941328,-118.17894
4960,Port of Los Angeles High,19647330107755,062271010864,N,90731-3304,33.740128,-118.28187
4961,CHAMPS - Charter HS of Arts-Multimedia & Performing,19647330108878,062271010865,N,91405-3984,34.195128,-118.44752
4963,Alliance Judy Ivie Burton Technology Academy High,19647330108894,062271010867,N,90003-4534,33.944203,-118.27849
4966,Larchmont Charter,19647330108928,062271010870,N,90046-5205,34.093570,-118.36188
4967,Alliance Collins Family College-Ready High,19647330108936,062271010871,N,90255-3635,33.976919,-118.23413
4981,Pacific Boulevard,19647330109322,062271010880,N,90255-2545,33.991050,-118.22354
4993,Santee Education Complex,19647330109447,062271011626,N,90011-1036,34.028729,-118.26211
4994,South East High,19647330109454,062271010888,Y,90280-5539,33.946064,-118.22330
4995,Maywood Academy High,19647330109462,062271010889,N,90270-3110,33.983116,-118.18846
4996,Cal Burke High,19647330109512,062271011627,N,91402-4917,34.217928,-118.45265
4997,PUC CA Academy for Liberal Studies Early College High,19647330109553,062271010890,N,90041-2547,34.137422,-118.18764
4998,PUC Community Charter Early College High,19647330109876,062271010892,No Data,91342,34.2800297,-118.3824599
5003,Los Angeles Academy of Arts and Enterprise,19647330110304,062271011628,N,90026-5816,34.061766,-118.26448
5005,Frida Kahlo High,19647330110668,062271011629,N,90011-1031,34.029891,-118.26390
5007,New Village Girls Academy,19647330111484,062271011631,N,90026-4601,34.071327,-118.27910
5008,Alliance Patti And Peter Neuwirth Leadership Academy,19647330111492,062271011632,N,90037-2736,34.001568,-118.27383
5009,Alliance Dr. Olga Mohan High,19647330111500,062271011633,N,90015-3400,34.036590,-118.27125
5011,Animo Ralph Bunche Charter High,19647330111575,062271011635,N,90011-2202,34.012710,-118.24398
5012,Animo Jackie Robinson High,19647330111583,062271011636,N,90007-4333,34.018395,-118.27561
5013,Animo Justice Charter High,19647330111591,062271011637,No Data,90011-2202,34.012544,-118.24451
5014,Animo Film and Theater Arts Charter High,19647330111609,062271011638,No Data,90037-1411,34.014042,-118.277148
5015,Animo Locke Technology High,19647330111617,062271011639,No Data,90059-1520,33.935281,-118.26026
5016,Animo Watts College Preparatory Academy,19647330111625,062271011640,N,90061-2728,33.917952,-118.26524
5017,Alliance Ouchi-O'Donovan 6-12 Complex,19647330111641,062271011641,N,90043-2622,33.993484,-118.32246
5018,Alliance Marc & Eva Stern Math and Science,19647330111658,062271011642,N,90032-4226,34.062039,-118.17365
5026,School of Business and Tourism at Contreras Learning Complex,19647330112029,062271011650,N,90017-1406,34.058064,-118.26170
5027,East Valley Senior High,19647330112037,062271011651,N,91601-2730,34.170560,-118.37036
5028,Arleta High,19647330112045,062271011652,N,91331-5103,34.250962,-118.44273
5029,Panorama High,19647330112052,062271011653,N,91402-6009,34.216528,-118.44883
5040,Stella High Charter Academy,19647330112508,062271011665,N,90047-4810,33.928811,-118.30608
5041,Lou Dantzler Preparatory Charter High,19647330112540,062271011666,No Data,90056,33.988543,-118.36856
5042,Frederick Douglass Academy High,19647330112557,062271011667,N,90018-1832,34.032630,-118.31900
5044,Jordan New Technology High,19647330112854,062271012017,No Data,90002,33.943161,-118.23129
5045,Student Empowerment Academy,19647330112862,062271012035,N,90011-3301,34.009239,-118.25154
5046,Contreras Learning Center-Los Angeles School of Global Studies,19647330112870,062271011888,N,90017-1406,34.058064,-118.26170
5048,West Adams Preparatory High,19647330114850,062271012114,N,90007-1257,34.040010,-118.28968
5050,Alliance College-Ready Academy High No. 7,19647330114942,062271011844,No Data,90043,33.976373,-118.32583
5058,Discovery Charter Preparatory #2,19647330115253,062271011889,N,91342-2343,34.319080,-118.42517
5069,Alliance Morgan McKinzie High,19647330116509,062271012259,N,90063-2437,34.035647,-118.18775
5075,Edward R. Roybal Learning Center,19647330117051,062271012295,N,90026-5816,34.061984,-118.25456
5076,Helen Bernstein High,19647330117069,062271012234,N,90028-8526,34.095068,-118.31357
5077,APEX Academy,19647330117077,062271012312,N,90028-8526,34.052234,-118.24368
5080,Alliance Piera Barbaglia Shaheen Health Services Academy,19647330117598,062271012378,N,90044-3496,33.960830,-118.29403
5081,Alliance Leichtman-Levine Family Foundation Environmental Science High,19647330117606,062271012342,N,90065-1407,34.113837,-118.24692
5083,Magnolia Science Academy 4,19647330117622,062271012360,N,90064,34.029816,-118.43558
5087,Contreras Learning Center-Academic Leadership Community,19647330117721,062271012314,N,90017-1406,34.058064,-118.26170
5088,Civitas School of Leadership,19647330117739,062271012232,No Data,90026,34.061984,-118.25456
5089,Los Angeles High School of the Arts,19647330117747,062271012270,N,90005-1943,34.059692,-118.29547
5090,Los Angeles Teacher Preparatory Academy,19647330117754,062271012335,N,90026-5701,34.061222,-118.26301
5091,School for the Visual Arts and Humanities,19647330117762,062271012370,N,90005-1943,34.059692,-118.29547
5096,New Millennium Secondary,19647330117911,062271012253,N,90248-3322,33.867246,-118.29473
5103,Anahuacalmecac International Preparatory High School of North America,19647330118158,062271012271,No Data,90032-1942,34.085252,-118.18123
5105,Alain Leroy Locke College Preparatory Academy,19647330118588,062271012248,N,90061-3003,33.934867,-118.26893
5106,Animo Locke II College Preparatory Academy,19647330118596,062271012306,No Data,90061-3003,33.934867,-118.26893
5107,Sun Valley High,19647330119651,062271012520,N,91352-1844,34.236128,-118.39659
5108,New Open World Academy K-12,19647330119685,062271012493,N,90010-2171,34.057779,-118.29766
5109,UCLA Community K-12,19647330119693,062271012524,N,90005-2001,34.059688,-118.29864
5111,School of Engineering and Technology,19647330119719,062271012441,No Data,90033,34.048700,-118.22740
5112,Ramon C. Cortines School of Visual and Performing Arts,19647330119727,062271012439,N,90012-2123,34.059537,-118.24492
5115,Felicitas and Gonzalo Mendez High,19647330119966,062271012438,N,90033-2730,34.048813,-118.22762
5123,New Designs Charter School-Watts,19647330120071,062271012456,N,90061-2730,33.917147,-118.26516
5125,Daniel Pearl Journalism & Communications Magnet,19647330120360,062271012525,Y,91406-5529,34.191306,-118.50188
5129,Dorothy V. Johnson Community Day,19647330120808,062271012482,N,90002-3676,33.939063,-118.24381
5132,Ambassador-Global Leadership,19647330121095,062271012559,N,90005-1943,34.059692,-118.29547
5136,Alliance Cindy and Bill Simon Technology Academy High,19647330121285,062271012567,N,90059-1236,33.938494,-118.23874
5137,Alliance Tennenbaum Family Technology High,19647330121293,062271012572,N,90065-1267,34.102260,-118.23739
5156,Environmental and Social Policy Magnet,19647330122275,062271012733,Y,90031-2856,34.074707,-118.20403
5157,School of Law & Government at Roosevelt High,19647330122283,062271012814,No Data,90033-4326,34.039171,-118.21119
5158,Humanitas Art School at Roosevelt High,19647330122291,062271012828,No Data,90033-4326,34.039171,-118.21119
5159,"School of Science, Technology, Engineering & Math (STEM) at Roosevelt High",19647330122309,062271012623,No Data,90033-4326,34.039171,-118.21119
5160,Academy of Medical & Health Sciences at Roosevelt High,19647330122325,062271012783,No Data,90033-4326,34.039171,-118.21119
5161,"Math, Science, & Technology Magnet Academy at Roosevelt High",19647330122333,062271012791,Y,90033-4326,34.039171,-118.21119
5162,Esteban Torres East LA Performing Arts Magnet,19647330122341,062271012787,Y,90063-3422,34.041554,-118.17547
5163,Humanitas Academy of Art and Technology at Esteban E. Torres High No. 4,19647330122358,062271012711,N,90063-3422,34.041554,-118.17547
5164,Social Justice Leadership Academy Magnet at Esteban E. Torres High No 5,19647330122366,062271012720,N,90063-3422,34.041554,-118.17547
5165,East Los Angeles Renaissance Academy at Esteban E. Torres High No. 2,19647330122374,062271012657,N,90063-3422,34.041554,-118.17547
5166,Engineering and Technology Academy at Esteban E. Torres High No. 3,19647330122382,062271012819,N,90063-3422,34.041554,-118.17547
5174,PUC Triumph Charter High,19647330122598,062271012812,N,91352-1844,34.234825,-118.39801
5175,PUC Lakeview Charter High,19647330122606,062271012816,N,91342-2110,34.314190,-118.45976
5180,Aspire Pacific Academy,19647330122721,062271012634,N,90255-4126,33.990184,-118.22593
5184,Los Angeles Big Picture High,19647330122762,062271012699,N,90017-3837,34.048788,-118.25740
5188,Alliance Susan and Eric Smidt Technology High,19647330123133,062271012817,N,90031-2508,34.072368,-118.22022
5189,Alliance Ted K. Tajima High,19647330123141,062271012766,N,90026-5520,34.063479,-118.26153
5199,Valley Academy of Arts and Sciences,19647330124362,062271012946,N,91344-7323,34.260352,-118.50353
5200,Cesar E. Chavez Learning Academies-Arts/Theatre/Entertain Mag,19647330124370,062271012926,Y,91340-1817,34.288462,-118.42073
5201,Cesar E. Chavez Learning Academies-Social Justice Humanitas Academy,19647330124388,062271012895,N,91340-1817,34.288462,-118.42073
5202,Cesar E. Chavez Learning Academies-Academy of Scientific Exploration (ASE),19647330124396,062271012858,N,91340-1817,34.288462,-118.42073
5203,Cesar E. Chavez Learning Academies-Technology Preparatory Academy,19647330124404,062271012964,N,91340-1817,34.288462,-118.42073
5204,Sotomayor Arts and Sciences Magnet,19647330124412,062271012916,Y,90065-1267,34.290459,-118.44949
5205,School of History and Dramatic Arts at Sonia Sotomayor Learning Academies,19647330124420,062271012953,N,90065-1267,34.290459,-118.44949
5206,ARTLAB at Sonia Sotomayor Learning Academics,19647330124438,062271012867,No Data,90065-1267,34.290459,-118.44949
5209,Social Justice Schools: Global Issues Academy at Dr. Maya Angelou Community High,19647330124461,062271012934,No Data,90011-4522,33.994220,-118.27010
5210,Dr. Maya Angelou Community High,19647330124479,062271012871,N,90011-4522,33.994220,-118.27010
5211,Public Service Community at Diego Rivera Learning Complex,19647330124487,062271012971,N,90001-1133,33.984122,-118.25611
5212,Communication and Technology at Diego Rivera Learning Complex,19647330124495,062271012973,N,90001-1133,33.984122,-118.25611
5213,Diego Rivera Learning Complex Green Design STEAM Academy,19647330124503,062271012937,N,90001-1133,33.984122,-118.25611
5214,Performing Arts Community at Diego Rivera Learning Complex,19647330124511,062271012885,N,90001-1133,33.984122,-118.25611
5215,Rancho Dominguez Preparatory,19647330124529,062271012898,N,90810-1439,33.833794,-118.21594
5216,Synergy Quantum Academy,19647330124560,062271012883,N,90011-4522,33.994220,-118.27010
5222,Animo College Preparatory Academy,19647330124883,062271012903,N,90002-3132,33.944503,-118.23114
5223,Alliance Renee and Meyer Luskin Academy High,19647330124891,062271012848,N,90043-4420,33.977090,-118.32575
5224,PUC Early College Academy for Leaders and Scholars (ECALS),19647330124933,062271012869,N,90065-1267,34.290459,-118.44949
5225,Alliance Margaret M. Bloomfield Technology Academy High,19647330124941,062271012924,N,90255-6630,33.967152,-118.23061
5230,Ednovate - USC Hybrid High College Prep,19647330125864,062271013094,N,90071-1936,34.013426,-118.29182
5231,Leadership in Entertainment and Media Arts (LEMA),19647330125963,062271013117,N,90031-2856,34.073986,-118.20295
5233,STEM Academy at Bernstein High,19647330125989,062271013139,N,90028-8526,34.095061,-118.31392
5236,Math and Science College Preparatory,19647330126136,062271013084,N,90018-1832,34.032239,-118.31900
5239,Academy of Science and Engineering,19647330126185,062271013044,N,90016-5013,34.022330,-118.37128
5251,"Hilda L. Solis Learning Academy School of Technology, Business and Education",19647330126474,062271013101,N,90022-1422,34.039104,-118.17138
5252,Augustus F. Hawkins High A Critical Design and Gaming,19647330126482,062271013065,N,90044-5512,33.985536,-118.28800
5253,Augustus F. Hawkins High B Community Health Advocates,19647330126490,062271013095,N,90044-5512,33.985536,-118.28800
5254,Augustus F. Hawkins High C Responsible Indigenous Social Entrepreneurship,19647330126508,062271013166,N,90044-5512,33.985536,-118.28800
5255,Linda Esperanza Marquez High A Huntington Park Institute of Applied Medicine,19647330126516,062271013173,N,90255-3521,33.981804,-118.23372
5256,Linda Esperanza Marquez High B LIBRA Academy,19647330126524,062271013203,N,90255-3521,33.981804,-118.23372
5257,Linda Esperanza Marquez High C School of Social Justice,19647330126532,062271013086,N,90255-3521,33.981804,-118.23372
5258,"Science, Technology, Engineering, Arts and Mathematics at Legacy High School Complex",19647330126540,062271013162,N,90280-5332,33.941328,-118.17894
5259,Visual and Performing Arts at Legacy High School Complex,19647330126557,062271013133,N,90280-5332,33.941328,-118.17894
5261,Mervyn M. Dymally High,19647330126573,062271013079,N,90003-3541,33.957150,-118.26875
5265,Academies of Education and Empowerment at Carson High,19647330126615,062271013040,N,90745-4525,33.823923,-118.27585
5266,Academy of Medical Arts at Carson High,19647330126623,062271013104,N,90745-4525,33.823923,-118.27585
5268,Alliance Alice M. Baxter College-Ready High,19647330127217,062271013099,N,90731-3211,33.735787,-118.28715
5270,Humanities and Arts (HARTS) Academy of Los Angeles,19647330127787,062271013579,N,90710-1742,33.804102,-118.30737
5271,Contreras Learning Center-School of Social Justice,19647330127795,062271013271,N,90017-1406,34.058179,-118.26087
5272,Early College Academy-LA Trade Tech College,19647330127803,062271013434,N,90015-4108,34.033179,-118.27006
5274,Executive Preparatory Academy of Finance,19647330127852,062271013527,N,90249-4534,33.887316,-118.32531
5275,Pathways Community,19647330127878,062271013319,N,90003-3541,33.957150,-118.26875
5277,Valor Academy High,19647330127894,062271013564,N,91343-3416,34.240804,-118.45851
5278,Camino Nuevo High #2,19647330127910,062271013537,N,90004-3620,34.076443,-118.28550
5297,"Boyle Heights Science, Technology, Engineering and Math Magnet",19647330129536,062271013775,Y,90023-1420,34.036473,-118.21230
5298,Nava College Preparatory Academy,19647330129585,062271013737,N,90011-3301,34.009547,-118.25116
5301,TEACH Tech Charter High,19647330129627,062271013741,N,90047-4254,33.939400,-118.30879
5303,Banning Academies of Creative and Innovative Sciences (BACIS),19647330129775,062271013770,Y,90744-1526,33.794174,-118.26107
5309,Sylmar Biotech Health and Engineering Magnet,19647330130997,062271013831,Y,91342-4251,34.307364,-118.44288
5315,Collegiate Charter High School of Los Angeles,19647330131821,062271013851,N,90023-1840,34.026000,-118.19331
