CDSCODE,C,D,S,SARCYear,AVGEN_Y1,NCSEN_Y1,NCMEN_Y1,NCLEN_Y1,AVGMA_Y1,NCSMA_Y1,NCMMA_Y1,NCLMA_Y1,AVGSC_Y1,NCSSC_Y1,NCMSC_Y1,NCLSC_Y1,AVGSS_Y1,NCSSS_Y1,NCMSS_Y1,NCLSS_Y1,AVGEN_Y2,NCSEN_Y2,NCMEN_Y2,NCLEN_Y2,AVGMA_Y2,NCSMA_Y2,NCMMA_Y2,NCLMA_Y2,AVGSC_Y2,NCSSC_Y2,NCMSC_Y2,NCLSC_Y2,AVGSS_Y2,NCSSS_Y2,NCMSS_Y2,NCLSS_Y2,AVGEN_Y3,NCSEN_Y3,NCMEN_Y3,NCLEN_Y3,AVGMA_Y3,NCSMA_Y3,NCMMA_Y3,NCLMA_Y3,AVGSC_Y3,NCSSC_Y3,NCMSC_Y3,NCLSC_Y3,AVGSS_Y3,NCSSS_Y3,NCMSS_Y3,NCLSS_Y3
49738826112981,49,73882,6112981,2020-21,23,6,16,1,23,9,13,1,26,4,19,2,23,6,15,1,22,8,16,,21,10,13,1,23,7,20,,23,7,13,,23,5,17,1,24,4,12,2,24,7,18,,25,2,14,
31668296101778,31,66829,6101778,2020-21,25,2,13,1,26,1,12,2,28,2,14,4,26,2,13,1,29,,12,2,27,4,6,5,31,1,8,4,29,,12,2,26,1,11,1,26,1,11,1,26,1,11,1,26,1,12,
19644361932086,19,64436,1932086,2020-21,26,13,20,16,27,12,16,17,29,6,10,10,26,10,13,17,28,13,23,14,29,14,11,20,32,6,4,16,28,8,10,20,27,13,23,15,29,11,10,22,29,8,10,12,27,8,19,11
34674470121467,34,67447,0121467,2020-21,28,2,12,6,31,4,8,6,32,,5,1,30,,5,1,28,,17,4,27,3,17,3,29,,2,2,29,1,5,2,27,6,18,4,28,4,18,2,30,,6,2,29,,7,2
34674390101048,34,67439,0101048,2020-21,25,2,5,,25,2,5,,25,2,5,,29,,4,,24,4,4,,24,4,4,,24,4,4,,24,4,4,,20,6,3,,20,6,3,,20,6,3,,18,3,2,
27662256115182,27,66225,6115182,2020-21,16,13,8,,18,7,6,,21,3,8,,29,,8,,20,11,5,4,17,8,6,,18,6,7,,33,1,5,3,21,3,8,,18,6,7,,23,3,7,,26,1,8,
39686766042790,39,68676,6042790,2020-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,3,4,,27,,4,,27,,4,,27,,4,
30666470119404,30,66647,0119404,2020-21,28,16,17,36,31,5,14,33,30,5,20,21,31,7,14,24,28,15,12,40,29,10,20,26,32,1,18,25,32,3,17,25,26,18,23,26,31,6,20,24,30,1,27,15,33,3,12,28
33752420112102,33,75242,0112102,2020-21,23,10,7,9,27,4,8,7,30,2,4,11,28,4,4,10,21,13,12,5,22,10,10,6,30,2,9,7,30,2,9,7,10,52,1,,11,44,1,,12,37,1,,14,33,1,
41690396044861,41,69039,6044861,2020-21,25,8,25,,28,3,20,2,28,,28,,28,,24,,25,6,25,,28,,27,,28,,24,,28,3,21,,24,7,24,,25,6,19,,27,3,21,,27,,24,
29664070128629,29,66407,0128629,2020-21,19,5,3,,19,9,4,,25,2,3,,25,1,4,,22,2,4,,22,4,3,,24,1,5,,24,,2,,28,1,3,1,19,5,2,,18,8,,,24,3,2,1
37679830134890,37,67983,0134890,2020-21,5,1055,33,13,6,658,26,10,6,376,7,14,10,391,35,20,6,927,17,27,7,673,18,22,6,517,8,17,10,445,14,35,3,2094,,,4,1482,4,,4,1063,2,,4,1277,,
34673300113571,34,67330,0113571,2020-21,29,10,11,29,30,5,15,20,34,,9,14,31,2,9,17,29,7,12,21,29,7,14,19,33,,10,15,33,2,6,17,31,4,10,26,29,10,5,24,34,,5,18,32,2,6,18
19647336058382,19,64733,6058382,2020-21,23,10,7,3,25,6,9,2,20,7,2,1,25,7,7,3,22,8,8,4,26,5,4,7,24,3,5,2,25,4,9,4,19,10,11,1,23,5,10,1,23,3,13,1,21,5,13,
01611920133009,01,61192,0133009,2020-21,9,20,,,8,11,1,,7,12,,,6,32,,,11,21,1,,5,27,,,6,17,,,7,39,2,,8,21,,,4,17,,,5,11,,,7,26,,
01612346102917,01,61234,6102917,2020-21,27,6,27,2,25,10,22,2,30,,31,4,26,5,23,1,31,1,22,6,25,6,27,2,30,,22,6,27,5,24,,27,4,22,2,26,6,20,3,29,,22,3,28,2,20,2
47702436050710,47,70243,6050710,2020-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19647336058168,19,64733,6058168,2020-21,18,21,12,4,24,9,6,8,24,8,8,6,26,5,10,6,18,23,8,7,23,10,5,9,26,8,5,10,25,7,4,12,16,28,7,8,22,10,13,3,26,3,4,4,22,11,9,6
19643781995885,19,64378,1995885,2020-21,5,10,,,4,12,,,3,11,,,4,11,,,10,6,,,7,7,,,7,6,,,8,7,,,7,13,1,,6,13,1,,8,9,1,,8,10,1,
30664316058903,30,66431,6058903,2020-21,27,8,24,10,31,3,13,17,32,2,9,21,30,2,21,11,31,9,19,15,40,3,9,22,31,3,14,18,32,2,6,25,29,12,18,13,35,3,18,14,31,3,19,13,31,3,16,15
31668456031165,31,66845,6031165,2020-21,23,1,1,,23,1,1,,23,1,1,,23,1,1,,25,,2,,25,,2,,25,,2,,25,,2,,22,2,,,22,2,,,22,2,,,22,2,,
19647331931989,19,64733,1931989,2020-21,4,22,,,9,6,,,6,4,,,5,17,1,,3,30,,,8,10,,,4,6,,,3,30,,,7,8,,,7,6,1,,7,3,,,3,11,,
34673303430501,34,67330,3430501,2020-21,15,7,4,,3,43,,,2,9,,,3,34,,,4,35,,,2,32,,,2,10,,,2,32,,,5,35,,,4,36,,,3,12,,,3,35,,
29663406027148,29,66340,6027148,2020-21,,,,,27,,5,1,28,,6,,28,,12,,7,1,,,28,1,4,1,30,1,3,2,30,,2,,3,3,,,16,7,3,,24,3,3,1,,,,
39686766042550,39,68676,6042550,2020-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,8,,31,,6,,30,,7,,31,,6,
33670826032080,33,67082,6032080,2020-21,12,4,1,,13,3,1,,24,1,1,,24,1,1,,11,6,,,9,6,,,17,3,,,17,3,,,8,7,,,9,6,,,16,3,,,16,3,,
34765056112643,34,76505,6112643,2020-21,28,3,6,6,32,,6,6,32,,6,6,30,1,6,6,30,2,4,10,32,1,4,10,32,,4,10,32,,4,10,13,40,,,14,36,,,15,30,1,,15,32,,
19647330122333,19,64733,0122333,2020-21,26,3,16,2,23,12,10,1,25,5,16,,25,5,11,3,26,4,16,1,23,7,16,1,29,3,8,8,27,6,11,5,25,7,15,,22,14,11,,28,4,15,1,28,3,17,2
30736500133389,30,73650,0133389,2020-21,28,1,6,2,28,,9,,31,,5,3,31,,6,2,27,1,6,2,22,5,6,1,30,,6,2,30,,6,2,14,8,,,10,13,,,14,8,,,14,8,,
33103300128777,33,10330,0128777,2020-21,23,3,2,,23,1,2,,,,,,24,1,2,,23,2,1,1,19,2,1,,,,,,23,1,1,,22,2,,,21,1,,,,,,,16,2,,
34673303431533,34,67330,3431533,2020-21,27,25,20,37,26,24,22,24,29,10,3,32,28,18,18,38,27,23,35,27,26,21,22,27,31,6,3,32,29,13,17,41,31,15,16,46,28,18,15,35,33,4,5,30,31,10,12,48
01612006001234,01,61200,6001234,2020-21,17,15,6,,27,3,8,1,25,4,9,,21,8,6,,23,5,12,,24,7,8,1,25,4,11,,26,2,12,,21,7,10,,23,8,7,,25,3,11,,25,4,10,
37683383730884,37,68338,3730884,2020-21,29,8,37,31,31,5,29,36,31,3,23,32,31,7,11,44,29,9,29,36,31,7,19,41,32,5,14,37,29,10,17,32,25,10,30,4,26,8,30,3,28,3,25,6,29,7,21,6
19648406021125,19,64840,6021125,2020-21,28,4,5,4,30,1,13,4,32,1,4,6,35,,2,8,27,5,6,4,27,4,4,6,30,1,6,5,32,1,3,7,28,3,6,4,27,1,10,2,32,1,4,6,32,1,3,7
34674130107383,34,67413,0107383,2020-21,2,4,,,2,2,,,2,2,,,1,1,,,2,4,,,2,2,,,1,2,,,1,5,,,1,4,,,1,2,,,1,1,,,1,3,,
50712900108761,50,71290,0108761,2020-21,25,9,6,12,30,5,2,15,28,3,12,7,28,3,12,7,25,10,10,8,28,5,6,12,28,6,9,7,28,2,16,4,22,15,12,5,28,5,9,9,26,5,15,4,24,6,16,4
40104050101725,40,10405,0101725,2020-21,20,7,4,,18,9,1,,4,4,,,16,12,4,,22,5,6,,17,10,3,,5,4,,,15,15,2,,13,15,1,,10,12,,,9,11,,,11,19,,
39685850125369,39,68585,0125369,2020-21,10,2,,,10,1,,,5,2,,,5,2,,,4,4,,,1,1,,,2,3,,,2,3,,,3,4,,,3,2,,,3,2,,,3,2,,
37683386106181,37,68338,6106181,2020-21,28,3,6,12,27,2,16,4,28,1,15,5,27,3,11,8,30,2,7,11,29,1,18,2,30,2,9,9,31,2,6,11,20,21,8,1,26,4,17,,26,4,16,1,27,3,16,1
19647331931716,19,64733,1931716,2020-21,18,7,7,1,19,8,6,,20,7,3,,16,12,4,1,14,17,7,3,16,12,4,1,16,9,3,1,15,13,5,4,17,12,5,6,18,12,2,3,16,7,5,1,14,17,4,4
57726865732904,57,72686,5732904,2020-21,24,5,8,,23,5,6,,24,1,2,,25,3,5,1,22,5,10,,18,8,8,,25,1,2,,20,6,7,,19,10,6,,18,9,6,,26,,2,,23,5,7,
07617960735316,07,61796,0735316,2020-21,29,9,13,21,33,3,10,20,36,1,2,18,33,3,7,24,31,8,8,30,35,2,3,23,36,,3,23,33,1,10,20,30,7,13,20,34,2,6,29,35,2,4,25,34,2,8,23
26102640124990,26,10264,0124990,2020-21,17,11,6,1,25,8,1,3,22,5,4,2,17,16,,4,21,13,2,3,23,17,1,2,27,8,,2,22,15,,4,48,5,4,4,167,1,,2,104,2,,2,106,3,,3
19753096107494,19,75309,6107494,2020-21,16,10,4,,17,7,5,,19,6,5,1,21,6,4,,18,8,3,,18,7,4,,21,5,6,,20,6,4,,12,11,3,,16,7,2,,18,5,4,,12,12,,
52714980102301,52,71498,0102301,2020-21,32,,2,2,32,,2,2,32,,2,2,32,,2,2,26,,4,,26,,4,,26,,4,,26,,4,,,,,,,,,,,,,,,,,
41690136044697,41,69013,6044697,2020-21,25,4,11,,25,5,15,1,28,1,17,,27,2,15,1,25,3,11,,25,6,14,,23,7,8,,23,5,10,,24,8,15,2,23,7,13,2,25,2,16,,25,2,16,
30736506095137,30,73650,6095137,2020-21,27,6,13,4,29,2,14,5,28,3,17,1,28,3,14,4,30,5,7,12,32,2,9,10,29,4,15,5,35,,8,11,26,6,8,5,30,3,7,6,32,3,6,6,27,3,9,3
50755645035654,50,75564,5035654,2020-21,26,20,26,22,25,16,43,5,27,10,12,15,28,6,32,9,26,21,19,28,25,15,35,10,26,11,13,16,28,11,19,20,27,16,18,34,25,14,43,4,28,6,17,18,29,7,22,20
43694840100990,43,69484,0100990,2020-21,22,11,11,8,22,11,11,6,26,4,15,4,26,4,11,8,26,6,9,9,30,6,4,13,28,4,8,10,27,4,9,9,23,8,11,6,25,6,9,8,25,6,10,7,25,6,11,6
19651361933902,19,65136,1933902,2020-21,26,26,21,40,28,21,12,45,28,16,18,32,26,20,10,33,24,32,20,33,27,21,15,38,29,13,12,40,26,16,22,24,24,32,37,26,25,22,29,30,28,14,18,32,24,21,27,19
37680490136614,37,68049,0136614,2020-21,4,471,7,,6,245,8,2,5,132,4,1,10,101,6,12,5,362,9,,8,138,7,12,6,101,1,7,9,100,6,10,4,268,4,1,7,92,6,6,6,96,6,,8,95,8,6
17769761737006,17,76976,1737006,2020-21,21,8,6,1,19,9,5,,20,7,4,,26,2,6,2,19,12,4,1,22,8,4,2,24,4,5,,24,2,6,,15,8,3,,14,7,4,,16,2,2,,9,9,2,
22655320132258,22,65532,0132258,2020-21,18,1,,,9,2,,,9,2,,,18,1,,,15,1,,,15,1,,,8,2,,,8,2,,,6,2,,,6,2,,,6,2,,,6,2,,
21654172130045,21,65417,2130045,2020-21,3,19,,,3,11,,,2,9,,,4,13,,,3,24,,,2,18,,,3,9,,,3,19,,,2,24,,,2,13,,,2,14,,,3,22,,
19642461937051,19,64246,1937051,2020-21,21,70,21,63,24,43,20,49,23,39,13,44,21,56,18,47,18,94,30,55,22,49,20,50,23,39,17,41,18,69,20,43,19,91,39,43,22,52,30,39,24,34,21,41,16,85,16,44
43694274332995,43,69427,4332995,2020-21,24,28,56,3,26,19,30,18,26,16,42,4,25,21,33,14,26,23,62,1,26,19,24,24,27,13,34,13,27,13,33,18,24,35,54,3,25,22,31,17,26,18,38,5,26,17,30,16
28662662830149,28,66266,2830149,2020-21,11,39,,,15,16,,,9,23,,,13,29,,,14,10,,,17,17,,,8,25,,,16,35,,,18,9,2,,20,4,5,,22,3,2,,15,12,3,
55723556054894,55,72355,6054894,2020-21,19,3,2,,16,4,2,,17,2,4,,20,2,3,,22,1,4,,21,1,4,,19,2,4,,23,1,4,,14,4,3,,14,6,1,,18,3,3,,13,5,3,
40687596043020,40,68759,6043020,2020-21,20,15,9,3,21,11,11,2,25,2,15,,23,4,12,3,23,11,11,4,27,8,10,5,29,2,11,4,26,3,12,3,23,8,13,3,25,7,13,2,28,2,13,1,26,2,14,
43693776046395,43,69377,6046395,2020-21,25,6,13,4,26,5,12,5,27,4,13,4,29,2,10,7,24,6,13,2,25,5,10,5,29,3,2,12,29,2,11,4,25,7,11,4,26,5,5,9,26,4,10,5,27,2,15,1
34674476034409,34,67447,6034409,2020-21,25,10,15,10,26,10,15,7,31,2,13,10,27,3,20,5,26,9,11,13,26,11,10,13,32,,12,13,33,,8,16,24,10,19,6,25,11,15,8,32,2,15,8,27,7,14,7
19647336058200,19,64733,6058200,2020-21,17,25,5,8,19,13,11,4,20,14,5,10,21,13,6,7,19,18,11,3,19,15,12,,18,19,11,1,20,10,13,3,19,17,12,5,20,14,12,1,22,11,7,5,22,9,9,7
19647330137083,19,64733,0137083,2020-21,12,6,1,,11,6,,,17,3,1,,10,1,,,21,3,3,,22,2,3,,19,3,3,,16,3,3,,22,4,5,,19,4,4,,19,4,4,,17,4,3,
37771640137356,37,77164,0137356,2020-21,17,8,,,17,7,,,17,7,,,17,7,,,23,2,7,,24,1,7,,24,1,7,,24,2,6,,100,,,2,100,,,2,100,,,2,100,,,2
15633216009070,15,63321,6009070,2020-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21653676024350,21,65367,6024350,2020-21,24,4,11,,25,5,8,1,25,2,12,,25,3,11,,27,,13,,23,6,7,2,27,4,7,2,27,,13,,13,29,,,13,29,,,14,25,,,14,28,,
49708960102525,49,70896,0102525,2020-21,28,1,11,,28,,12,,28,,12,,28,2,10,,25,1,12,,25,2,11,,25,2,11,,25,2,11,,35,,3,7,37,,1,7,37,,1,7,37,,1,7
23656152330454,23,65615,2330454,2020-21,16,5,,,18,5,,,15,3,,,17,4,,,16,4,1,,15,3,1,,17,2,1,,12,5,1,,33,1,2,2,36,1,,3,40,,1,2,30,1,2,1
21654096024483,21,65409,6024483,2020-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19647330132928,19,64733,0132928,2020-21,15,7,2,,18,7,3,,17,4,3,,16,11,2,,15,6,2,,18,5,4,,29,,2,1,16,9,2,,17,4,4,,20,5,3,1,23,1,3,,20,4,4,1
40687594030557,40,68759,4030557,2020-21,22,39,26,28,23,33,44,12,24,18,37,4,22,32,22,24,22,40,22,29,23,28,47,14,25,10,33,10,23,28,30,16,23,34,30,24,24,27,34,19,26,14,21,12,23,25,29,15
34674210137950,34,67421,0137950,2020-21,5,172,3,,6,79,1,3,7,53,2,2,8,66,5,2,5,194,2,,7,111,4,,5,57,,,9,94,8,,6,231,1,,7,124,2,,9,66,2,,8,125,5,
19646911996438,19,64691,1996438,2020-21,23,8,16,,24,6,16,,27,4,16,,27,4,15,,24,7,16,,22,10,13,1,26,4,13,3,26,3,16,,23,7,17,,26,2,18,,26,3,16,,27,2,17,
30666476119556,30,66647,6119556,2020-21,3,51,,,3,37,,,2,40,,,2,51,,,4,46,,,3,35,,,3,29,,,3,43,,,3,78,,,2,65,,,2,65,,,3,58,,
48705406051221,48,70540,6051221,2020-21,,,,,,,,,,,,,,,,,1,1,,,1,1,,,1,1,,,1,1,,,25,1,2,2,25,1,4,,37,1,2,2,38,1,1,3
19647336058267,19,64733,6058267,2020-21,26,18,19,21,28,10,20,20,30,7,12,33,30,8,13,27,26,15,22,19,28,9,22,19,30,9,15,26,28,10,17,23,26,16,13,25,28,13,14,22,30,6,4,17,29,9,15,23
19647336061485,19,64733,6061485,2020-21,24,14,12,13,27,5,18,8,26,5,10,10,28,5,12,14,23,14,20,6,25,9,20,6,26,6,15,6,26,8,20,7,23,15,24,1,24,10,23,2,24,6,15,2,25,10,22,3
19647330124529,19,64733,0124529,2020-21,20,20,12,12,22,15,8,9,25,8,11,6,25,10,4,11,18,25,8,12,21,16,6,9,23,14,5,8,24,8,7,9,17,31,12,6,23,8,15,5,27,5,11,7,19,15,11,4
43696746101752,43,69674,6101752,2020-21,23,11,20,,25,8,14,4,26,4,16,1,25,3,20,,24,9,22,,25,9,14,4,30,,15,5,25,5,16,1,24,10,20,1,22,11,19,,30,,19,1,27,3,17,2
33103303330123,33,10330,3330123,2020-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19643291931088,19,64329,1931088,2020-21,30,8,30,27,31,3,25,32,31,3,15,29,31,4,18,34,28,12,28,28,28,12,34,17,29,7,22,18,31,6,18,33,14,130,,,13,130,,,15,94,,,15,116,,
19650941938513,19,65094,1938513,2020-21,9,28,2,,9,12,,,8,14,,,10,19,6,,8,26,,,7,16,,,6,13,,,8,23,1,,6,22,,,4,12,,,3,12,,,5,21,,
37683380119610,37,68338,0119610,2020-21,22,23,26,2,22,20,28,2,25,8,34,2,26,5,31,4,24,13,29,3,25,10,32,2,27,7,32,1,27,8,32,,28,5,24,11,29,3,24,11,31,2,16,18,28,9,17,14
19647330115287,19,64733,0115287,2020-21,32,,6,2,32,,3,1,32,,3,1,32,,3,1,29,,5,,29,,5,,29,,5,,29,,5,,30,,3,2,30,,3,2,30,,3,2,30,,3,2
19642461996537,19,64246,1996537,2020-21,6,292,9,12,6,237,15,6,8,130,3,10,8,110,4,10,5,356,12,5,6,242,11,4,7,141,2,11,8,129,7,13,5,401,10,,6,262,6,2,7,159,7,8,7,166,5,5
34765056033336,34,76505,6033336,2020-21,25,6,8,5,26,5,10,3,28,2,10,5,29,1,10,5,25,6,11,4,27,5,10,3,30,1,10,5,30,,9,7,12,45,,,12,40,,,15,32,,,15,32,,
50711346113286,50,71134,6113286,2020-21,5,12,,,5,11,,,6,12,,,5,16,,,9,10,1,,6,10,,,8,7,1,,6,13,,,9,12,1,,6,12,1,,8,8,1,,7,16,1,
30665483030145,30,66548,3030145,2020-21,22,23,25,13,30,3,19,19,28,7,12,16,29,8,9,21,22,43,18,14,33,8,11,25,30,10,17,11,29,10,15,17,12,133,3,2,16,82,3,7,15,67,3,3,15,74,1,5
23656152335024,23,65615,2335024,2020-21,23,34,38,8,22,23,34,5,25,11,20,3,28,7,28,10,24,27,34,12,24,21,29,11,25,12,21,1,26,15,20,14,25,14,19,6,27,9,19,10,26,6,10,3,27,5,21,2
04615496003354,04,61549,6003354,2020-21,19,10,6,,19,9,6,,24,4,8,,22,4,9,,17,18,6,,19,9,7,,25,2,10,,24,5,8,,18,11,7,,20,4,10,,26,1,10,,22,5,8,
15737421530054,15,73742,1530054,2020-21,8,9,,,2,18,,,9,3,,,6,15,,,15,4,2,,4,12,,,9,2,1,,8,13,,,8,9,1,,2,21,,,7,6,,,10,9,1,
01612590115618,01,61259,0115618,2020-21,27,,4,,27,,4,,27,,4,,27,,4,,29,,4,,29,,4,,29,,4,,29,,4,,30,,4,,41,,2,1,31,,2,,30,,2,
19647336058358,19,64733,6058358,2020-21,15,22,6,3,19,10,9,2,19,6,4,,21,7,5,4,13,23,7,,17,14,4,1,17,6,4,,18,11,8,,14,21,6,,18,13,6,,20,8,7,,20,10,5,
39103973930476,39,10397,3930476,2020-21,14,77,19,2,13,59,16,,14,50,17,,13,68,22,,14,61,25,2,13,64,12,1,15,37,14,1,14,54,19,2,12,81,20,2,14,57,17,1,15,39,11,1,13,59,17,1
19753090134585,19,75309,0134585,2020-21,3,8,,,5,4,,,2,4,,,2,7,,,2,9,,,2,5,,,2,6,,,3,6,,,5,29,,,4,14,,,3,18,,,4,32,,
39685856042121,39,68585,6042121,2020-21,17,5,1,,14,5,,,14,5,,,14,5,,,13,5,1,,20,2,1,,20,2,1,,20,2,1,,7,12,,,11,6,,,11,6,,,9,7,,
01612420126763,01,61242,0126763,2020-21,2,24,,,2,18,,,3,8,,,2,35,,,2,25,,,2,19,,,3,12,,,2,35,,,3,69,,,2,69,,,3,44,,,3,69,,
41689404135331,41,68940,4135331,2020-21,12,7,1,,8,9,,,20,1,2,,6,9,,,10,8,,,11,7,,,11,4,,,7,3,1,,6,3,,,6,5,,,15,2,,,11,2,,
19644511932441,19,64451,1932441,2020-21,28,36,51,73,30,11,55,66,30,11,41,41,30,19,28,71,31,24,47,79,33,14,42,74,29,16,32,40,32,10,21,77,28,40,125,16,28,32,116,13,26,30,73,4,27,21,111,3
37680986105944,37,68098,6105944,2020-21,16,59,31,,20,17,20,,23,9,22,,24,8,21,,16,56,31,,18,20,20,,25,6,21,,21,13,20,,18,45,24,,18,22,12,,22,12,16,,19,21,11,
19644516057632,19,64451,6057632,2020-21,27,9,8,15,29,5,10,13,34,2,1,21,32,4,,21,27,13,9,14,33,6,7,18,31,4,2,19,31,4,3,18,27,10,20,5,31,7,17,6,26,5,24,,26,6,21,1
19647331930064,19,64733,1930064,2020-21,4,33,,,5,16,,,7,9,,,5,21,,,3,29,,,4,16,,,4,10,,,4,20,,,5,26,,,5,16,,,5,7,,,6,18,,
33672156112668,33,67215,6112668,2020-21,23,18,14,10,26,8,20,8,30,5,8,18,31,3,10,17,24,14,19,8,26,8,20,8,29,4,18,11,30,3,18,11,6,148,,,7,139,1,,7,127,1,,7,130,,
04100410134213,04,10041,0134213,2020-21,3,17,,,2,9,,,2,7,,,2,23,,,3,16,,,2,7,,,2,11,,,2,23,,,2,15,,,1,9,,,1,10,,,1,18,,
19647330117069,19,64733,0117069,2020-21,19,29,15,5,18,27,11,,20,18,6,3,24,11,8,6,22,21,27,,22,17,16,2,21,17,11,,26,5,10,4,20,23,26,1,19,21,18,,21,15,8,,26,7,13,3
18641960135756,18,64196,0135756,2020-21,4,28,,,3,32,,,3,27,,,3,27,,,5,27,,,3,30,,,4,24,,,5,24,,,3,35,,,2,33,,,2,36,,,3,33,,
19734376012298,19,73437,6012298,2020-21,,,,,,,,,,,,,,,,,25,1,2,2,25,1,2,2,18,3,2,2,21,2,2,2,22,2,3,1,22,2,3,1,22,2,3,1,22,2,3,1
54720256054183,54,72025,6054183,2020-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01611190106401,01,61119,0106401,2020-21,25,,5,,23,3,2,,23,1,3,,24,1,4,,22,3,2,,18,6,,,23,1,3,,24,2,2,1,14,3,,,13,2,,,25,1,1,,18,1,,
19645681933472,19,64568,1933472,2020-21,6,34,,,8,15,,,8,8,,,8,21,,,9,24,,,10,14,,,7,14,,,9,19,,,8,29,,,8,14,,,8,9,,,8,19,,
39686766042808,39,68676,6042808,2020-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,1,4,,29,,4,,29,,4,,29,,4,
15633210138149,15,63321,0138149,2020-21,9,2,,,5,2,,,5,2,,,9,1,,,3,9,,,2,7,,,2,6,,,2,6,,,3,15,,,3,7,,,3,7,,,3,7,,
50755495032651,50,75549,5032651,2020-21,25,7,17,5,25,10,11,7,18,8,4,,27,5,9,12,23,12,15,5,24,11,12,6,20,7,7,,29,3,9,13,18,23,17,4,24,10,12,7,25,3,10,,27,7,12,12
19647336112536,19,64733,6112536,2020-21,20,12,5,,20,13,2,1,21,7,4,1,22,7,4,1,20,8,7,,25,3,8,,25,4,6,,25,3,7,,22,6,8,,27,2,7,1,24,3,7,,24,3,7,
50105040117457,50,10504,0117457,2020-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38684786093488,38,68478,6093488,2020-21,16,2,2,,16,4,,,16,3,1,,16,2,2,,,,,,15,4,,,20,1,2,,,,,,,,,,15,4,,,20,1,2,,,,,
18641136010748,18,64113,6010748,2020-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19645351932763,19,64535,1932763,2020-21,28,9,15,21,27,12,13,19,26,10,11,11,28,5,16,5,29,7,11,25,26,14,12,20,25,9,16,8,29,1,17,9,27,12,11,26,28,10,11,24,25,12,14,11,26,10,11,10
39685936042329,39,68593,6042329,2020-21,20,2,3,,21,2,4,,21,2,4,,18,3,4,,27,1,4,,23,2,4,,23,2,4,,19,3,4,,24,4,5,3,24,4,5,3,24,4,5,3,22,5,5,3
19644361936418,19,64436,1936418,2020-21,27,15,10,23,25,21,11,20,27,11,7,18,28,7,11,19,37,7,6,26,30,14,10,24,35,2,6,21,29,8,5,23,30,13,11,23,29,9,21,19,35,3,4,25,28,6,12,16
20102072030229,20,10207,2030229,2020-21,7,57,1,,9,30,1,1,6,39,1,,7,68,2,,7,58,1,1,9,30,,1,8,35,,1,7,78,,,7,58,,1,8,31,,1,7,35,,1,7,77,,
37682056038673,37,68205,6038673,2020-21,32,,2,3,27,2,,4,34,,1,3,34,,,4,28,1,4,1,26,2,3,1,31,,3,1,31,,3,1,25,2,5,2,25,2,5,1,27,1,4,1,27,1,4,1
29768776027189,29,76877,6027189,2020-21,,,,,,,,,,,,,,,,,26,1,3,,18,3,3,,26,1,3,,26,1,3,,12,9,,,11,10,,,14,8,,,14,8,,
19642126057442,19,64212,6057442,2020-21,25,9,17,2,28,5,10,8,32,1,11,9,32,2,5,13,25,7,19,,28,4,11,8,32,1,6,13,32,2,4,14,20,19,11,1,21,18,9,1,26,5,17,1,25,7,16,1
33670583330909,33,67058,3330909,2020-21,8,21,3,1,7,20,2,1,6,21,3,,6,34,2,,11,18,,4,11,16,1,2,9,17,1,2,8,26,2,2,10,20,,3,11,14,1,3,8,15,2,1,8,24,3,1
19647901935923,19,64790,1935923,2020-21,27,14,28,22,28,14,19,22,29,8,20,21,27,7,20,15,28,16,13,31,29,11,24,17,29,9,15,26,29,9,11,23,28,12,14,31,26,16,18,20,28,10,21,17,29,9,13,21
30665973032000,30,66597,3032000,2020-21,23,29,18,12,23,21,22,4,22,13,25,,26,13,13,9,24,20,21,11,23,22,13,7,25,9,23,,26,10,15,13,20,16,12,3,21,14,9,1,24,7,11,1,27,4,9,4
48705730133553,48,70573,0133553,2020-21,26,1,7,,26,3,5,1,25,2,7,,26,2,5,1,23,2,8,,23,3,8,,27,1,8,,28,,7,1,21,6,4,,20,5,6,,25,1,8,,26,1,7,
43694844334850,43,69484,4334850,2020-21,15,9,,,13,5,,,19,4,1,,18,11,1,,23,3,6,,22,2,3,,25,,5,,25,2,10,,25,3,6,,26,2,3,,29,,5,,29,,12,
19647331936350,19,64733,1936350,2020-21,27,36,26,47,27,30,15,46,26,30,21,38,30,19,14,40,25,42,31,49,25,33,21,48,25,35,23,37,30,16,15,42,26,41,28,51,27,25,25,44,27,29,29,37,30,15,22,34
