CDSCODE,C,D,S,SARCYear,AVGEN_Y1,NCSEN_Y1,NCMEN_Y1,NCLEN_Y1,AVGMA_Y1,NCSMA_Y1,NCMMA_Y1,NCLMA_Y1,AVGSC_Y1,NCSSC_Y1,NCMSC_Y1,NCLSC_Y1,AVGSS_Y1,NCSSS_Y1,NCMSS_Y1,NCLSS_Y1,AVGEN_Y2,NCSEN_Y2,NCMEN_Y2,NCLEN_Y2,AVGMA_Y2,NCSMA_Y2,NCMMA_Y2,NCLMA_Y2,AVGSC_Y2,NCSSC_Y2,NCMSC_Y2,NCLSC_Y2,AVGSS_Y2,NCSSS_Y2,NCMSS_Y2,NCLSS_Y2,AVGEN_Y3,NCSEN_Y3,NCMEN_Y3,NCLEN_Y3,AVGMA_Y3,NCSMA_Y3,NCMMA_Y3,NCLMA_Y3,AVGSC_Y3,NCSSC_Y3,NCMSC_Y3,NCLSC_Y3,AVGSS_Y3,NCSSS_Y3,NCMSS_Y3,NCLSS_Y3
43695750129940,43,69575,0129940,2020-21,25,,8,,16,5,1,,20,1,4,,25,1,3,,27,,8,,18,4,2,,27,,4,,27,,4,,24,2,6,2,17,5,1,1,24,1,3,1,24,1,3,1
39686766042758,39,68676,6042758,2020-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,6,3,,27,,3,,27,,3,,27,,3,
19651281934868,19,65128,1934868,2020-21,28,22,49,25,30,15,24,41,32,5,22,39,30,10,45,34,29,14,42,36,28,16,34,36,32,7,24,37,32,7,30,49,11,130,,,12,104,,,13,78,,,13,110,,
24657892430098,24,65789,2430098,2020-21,32,11,10,35,31,5,25,20,33,3,10,22,33,3,14,27,39,8,13,37,34,8,15,28,33,3,14,21,33,6,10,33,30,12,19,35,27,17,22,21,30,3,8,7,35,,15,31
43695266047567,43,69526,6047567,2020-21,24,7,29,,24,8,25,2,26,2,29,,26,,31,,26,4,29,,25,7,27,,29,,29,,28,2,27,,12,67,,,12,66,,,13,60,,,13,60,,
27660276026108,27,66027,6026108,2020-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19101990121772,19,10199,0121772,2020-21,29,,8,,29,,8,,29,,16,,29,,8,,29,,8,,29,,8,,29,,12,,29,,8,,30,,8,,30,,8,,30,,12,,30,,8,
19734451938935,19,73445,1938935,2020-21,6,30,2,,9,11,2,,9,13,1,,7,24,2,,10,17,1,1,11,11,1,,15,6,,,8,20,,,11,9,1,,11,12,1,1,15,6,1,,8,16,1,
36676783631181,36,67678,3631181,2020-21,1,12,,,1,11,,,1,8,,,1,13,,,2,11,,,2,11,,,1,9,,,2,12,,,2,14,,,2,11,,,1,7,,,1,15,,
19647330102913,19,64733,0102913,2020-21,26,4,10,4,26,6,2,8,25,5,8,1,26,4,3,5,22,10,6,3,18,13,8,,26,4,8,2,23,10,9,3,20,14,3,7,17,16,6,1,27,3,10,1,27,9,7,4
39685856042188,39,68585,6042188,2020-21,23,4,6,,23,1,4,,23,2,3,,29,,4,,23,4,6,,23,2,3,,23,2,3,,28,,4,,10,12,,,13,8,,,13,8,,,13,8,,
37681896085047,37,68189,6085047,2020-21,24,13,4,14,25,7,4,11,32,2,4,11,29,6,3,10,24,10,13,7,24,6,8,7,28,2,7,9,25,4,15,1,25,10,11,6,19,17,7,2,26,5,8,6,25,6,6,7
24736196103766,24,73619,6103766,2020-21,19,10,9,,25,3,9,1,27,2,8,1,29,1,7,2,28,2,16,2,28,1,8,1,28,1,6,3,28,1,8,2,24,6,5,3,32,,5,3,32,,4,4,34,,3,5
36750446059547,36,75044,6059547,2020-21,29,11,17,24,29,7,14,18,28,6,19,15,28,10,10,20,26,15,33,9,28,7,23,10,28,7,24,10,27,9,24,9,23,24,28,12,26,13,19,11,25,12,23,10,26,11,23,10
04733796002927,04,73379,6002927,2020-21,15,1,,,15,1,,,15,1,,,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33671166119721,33,67116,6119721,2020-21,23,11,25,1,24,9,27,,28,4,26,1,27,4,28,,26,14,17,4,25,15,18,2,25,10,22,,27,3,24,2,22,12,19,,22,12,19,,22,11,19,,25,4,23,
